dataset,explain_graph,explainer_name,true_label_as_target,hard_mask,seed,gnn_train_scores__prec,gnn_train_scores__recall,gnn_train_scores__f1-score,gnn_train_scores__acc,gnn_train_scores__roc_auc,gnn_test_scores__prec,gnn_test_scores__recall,gnn_test_scores__f1-score,gnn_test_scores__acc,gnn_test_scores__roc_auc,initial_edge_mask_infos__mask_size,initial_edge_mask_infos__mask_entropy,initial_edge_mask_infos__max_avg,infos__dataset,infos__explainer,infos__number_of_edges,infos__num_test,infos__num_test_final,infos__groundtruth target,infos__time,infos__edge_mask_sparsity_init,infos__edge_mask_size_init,transformed_mask_infos__mask_entropy,transformed_mask_infos__mask_size,transformed_mask_infos__max_avg,transformed_mask_infos__topk,fidelity__fidelity_acc+,fidelity__fidelity_acc-,fidelity__fidelity_prob+,fidelity__fidelity_prob-,fidelity__topk,fidelity__fidelity_gnn_acc+,fidelity__fidelity_gnn_acc-,fidelity__fidelity_gnn_prob+,fidelity__fidelity_gnn_prob-
ebay_small,False,random,True,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.3,14.03752484424657,0.4986022341730617,ebay_small,random,1514661,100,100,True,0.0154,0.0010000257483357678,1513146.3,0.0,1.0,1.0,1,0.23,1.0,0.10349849611520767,0.2734600007534027,1,,,,
ebay_small,False,random,True,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.3,14.03752484424657,0.4986022341730617,ebay_small,random,1514661,100,100,True,0.0154,0.0010000257483357678,1513146.3,1.6094379124333906,5.0,0.9999972088950996,5,0.23,1.0,0.10349849611520767,0.2734600007534027,5,,,,
ebay_small,False,random,True,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.3,14.03752484424657,0.4986022341730617,ebay_small,random,1514661,100,100,True,0.0154,0.0010000257483357678,1513146.3,2.302585092991787,10.0,0.9999945167976321,10,0.23,1.0,0.10349849611520767,0.2734600007534027,10,,,,
ebay_small,False,random,True,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.3,14.03752484424657,0.4986022341730617,ebay_small,random,1514661,100,100,True,0.0154,0.0010000257483357678,1513146.3,2.708050201097454,15.0,0.9999927685265871,15,0.23,1.0,0.10349849611520767,0.2734600007534027,15,,,,
ebay_small,False,random,True,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.3,14.03752484424657,0.4986022341730617,ebay_small,random,1514661,100,100,True,0.0154,0.0010000257483357678,1513146.3,2.99573227354569,20.0,0.999990763178234,20,0.23,1.0,0.10349849611520767,0.2734600007534027,20,,,,
ebay_small,False,random,True,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.3,14.03752484424657,0.4986022341730617,ebay_small,random,1514661,100,100,True,0.0154,0.0010000257483357678,1513146.3,3.2188758248556866,25.0,0.9999881065061597,25,0.23,1.0,0.10349849611520767,0.2734600007534027,25,,,,
ebay_small,False,random,True,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.3,14.03752484424657,0.4986022341730617,ebay_small,random,1514661,100,100,True,0.0154,0.0010000257483357678,1513146.3,3.9120230053807052,50.0,0.9999792606736034,50,0.23,1.0,0.10349849611520767,0.2734600007534027,50,,,,
ebay_small,False,random,True,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.3,14.03752484424657,0.4986022341730617,ebay_small,random,1514661,100,100,True,0.0154,0.0010000257483357678,1513146.3,4.605170185803563,100.0,0.9999565529942341,100,0.23,1.0,0.10349849611520767,0.2734600007534027,100,,,,
ebay_small,False,random,True,False,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.3,14.03752484424657,0.4986022341730617,ebay_small,random,1514661,100,100,True,0.0127,0.0010000257483357678,1513146.3,0.0,1.0,1.0,1,0.24,1.0,0.10982103645801544,0.2734600007534027,1,,,,
ebay_small,False,random,True,False,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.3,14.03752484424657,0.4986022341730617,ebay_small,random,1514661,100,100,True,0.0127,0.0010000257483357678,1513146.3,1.6094379124333906,5.0,0.9999972088950996,5,0.24,1.0,0.10982103645801544,0.2734600007534027,5,,,,
