dataset,explain_graph,explainer_name,true_label_as_target,hard_mask,seed,gnn_train_scores__prec,gnn_train_scores__recall,gnn_train_scores__f1-score,gnn_train_scores__acc,gnn_train_scores__roc_auc,gnn_test_scores__prec,gnn_test_scores__recall,gnn_test_scores__f1-score,gnn_test_scores__acc,gnn_test_scores__roc_auc,initial_edge_mask_infos__mask_size,initial_edge_mask_infos__mask_entropy,initial_edge_mask_infos__max_avg,infos__dataset,infos__explainer,infos__number_of_edges,infos__num_test,infos__num_test_final,infos__groundtruth target,infos__time,infos__edge_mask_sparsity_init,infos__edge_mask_size_init,transformed_mask_infos__mask_entropy,transformed_mask_infos__mask_size,transformed_mask_infos__max_avg,transformed_mask_infos__topk,fidelity__fidelity_acc+,fidelity__fidelity_acc-,fidelity__fidelity_prob+,fidelity__fidelity_prob-,fidelity__topk,fidelity__fidelity_gnn_acc+,fidelity__fidelity_gnn_acc-,fidelity__fidelity_gnn_prob+,fidelity__fidelity_gnn_prob-
ebay_small,False,pgexplainer,False,False,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,4.94,0.89413690278717,0.4593921797295099,ebay_small,pgexplainer,1514661,100,100,False,8.147,0.9999967385441364,4.94,0.0,0.55,1.0,1,,,,,1,0.0,0.87,0.0019116514595225,0.2529061436653137
ebay_small,False,pgexplainer,False,False,1,0.5682352089106748,0.6795587410642697,0.5953268368540299,0.9568544048525424,0.6795587410642697,0.5700300541862092,0.6776654844208366,0.5972569472185278,0.9587003610108303,0.6776654844208366,3.86,0.7856604583675288,0.4910623347023781,ebay_small,pgexplainer,1514661,100,100,False,9.6958,0.999997451574973,3.86,0.0,0.51,1.0,1,,,,,1,0.0,0.84,0.002632852178066969,0.25295913219451904
ebay_small,False,pgexplainer,False,False,2,0.5591885503070272,0.6751770508907978,0.5838054539045088,0.951518621757159,0.6751770508907978,0.5652483263800872,0.6897325388418534,0.5926140180923042,0.9537424789410349,0.6897325388418533,4.17,1.0761614054040678,0.4013968865034279,ebay_small,pgexplainer,1514661,100,100,False,8.1526,0.9999972469087142,4.17,0.0,0.43,1.0,1,,,,,1,0.0,0.91,0.0006706482381559908,0.26178914308547974
ebay_small,False,pgexplainer,False,False,3,0.5599217980158324,0.6012169759919533,0.5744746128303841,0.966556972698157,0.6012169759919532,0.5617095131030287,0.6101087481906368,0.5780910656430688,0.9660649819494584,0.6101087481906369,9.05,1.183472668677877,0.38565295803831495,ebay_small,pgexplainer,1514661,100,100,False,8.2382,0.9999940250656749,9.05,0.0,0.78,1.0,1,,,,,1,0.0,0.81,0.0029549729079008102,0.2511354386806488
ebay_small,False,pgexplainer,False,False,4,0.5698665269003128,0.6728462076975276,0.5964794576471767,0.958880492301497,0.6728462076975276,0.5742803024332319,0.6771931377892731,0.6019506127485,0.9609626955475331,0.6771931377892731,3.68,1.0969470483405488,0.4519181164335871,ebay_small,pgexplainer,1514661,100,100,False,8.3335,0.9999975704134458,3.68,0.0,0.44,1.0,1,,,,,1,0.0,0.91,0.0013860911130905151,0.2611433267593384
ebay_small,False,pgexplainer,False,False,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,4.94,0.89413690278717,0.4593921797295099,ebay_small,pgexplainer,1514661,100,100,False,8.147,0.9999967385441364,4.94,0.6091987740084427,1.78,0.521150941050072,5,,,,,5,0.01,0.83,0.0066017876379191,0.2468295693397522
ebay_small,False,pgexplainer,False,False,1,0.5682352089106748,0.6795587410642697,0.5953268368540299,0.9568544048525424,0.6795587410642697,0.5700300541862092,0.6776654844208366,0.5972569472185278,0.9587003610108303,0.6776654844208366,3.86,0.7856604583675288,0.4910623347023781,ebay_small,pgexplainer,1514661,100,100,False,9.6958,0.999997451574973,3.86,0.5485037577413293,1.54,0.6272592948863479,5,,,,,5,0.01,0.79,0.008628700859844685,0.24663037061691284
ebay_small,False,pgexplainer,False,False,2,0.5591885503070272,0.6751770508907978,0.5838054539045088,0.951518621757159,0.6751770508907978,0.5652483263800872,0.6897325388418534,0.5926140180923042,0.9537424789410349,0.6897325388418533,4.17,1.0761614054040678,0.4013968865034279,ebay_small,pgexplainer,1514661,100,100,False,8.1526,0.9999972469087142,4.17,0.779393083528354,1.56,0.5763739331659072,5,,,,,5,0.0,0.88,0.002964879386126995,0.25656458735466003
ebay_small,False,pgexplainer,False,False,3,0.5599217980158324,0.6012169759919533,0.5744746128303841,0.966556972698157,0.6012169759919532,0.5617095131030287,0.6101087481906368,0.5780910656430688,0.9660649819494584,0.6101087481906369,9.05,1.183472668677877,0.38565295803831495,ebay_small,pgexplainer,1514661,100,100,False,8.2382,0.9999940250656749,9.05,0.8415589979945867,2.97,0.5969410420882645,5,,,,,5,0.01,0.75,0.01184165757149458,0.2436678260564804
ebay_small,False,pgexplainer,False,False,4,0.5698665269003128,0.6728462076975276,0.5964794576471767,0.958880492301497,0.6728462076975276,0.5742803024332319,0.6771931377892731,0.6019506127485,0.9609626955475331,0.6771931377892731,3.68,1.0969470483405488,0.4519181164335871,ebay_small,pgexplainer,1514661,100,100,False,8.3335,0.9999975704134458,3.68,0.7604003639378483,1.48,0.6251904511715323,5,,,,,5,0.0,0.87,0.006384933367371559,0.2545565366744995
