dataset,explain_graph,explainer_name,true_label_as_target,hard_mask,seed,gnn_train_scores__prec,gnn_train_scores__recall,gnn_train_scores__f1-score,gnn_train_scores__acc,gnn_train_scores__roc_auc,gnn_test_scores__prec,gnn_test_scores__recall,gnn_test_scores__f1-score,gnn_test_scores__acc,gnn_test_scores__roc_auc,initial_edge_mask_infos__mask_size,initial_edge_mask_infos__mask_entropy,initial_edge_mask_infos__max_avg,infos__dataset,infos__explainer,infos__number_of_edges,infos__num_test,infos__num_test_final,infos__groundtruth target,infos__time,infos__edge_mask_sparsity_init,infos__edge_mask_size_init,transformed_mask_infos__mask_entropy,transformed_mask_infos__mask_size,transformed_mask_infos__max_avg,transformed_mask_infos__topk,fidelity__fidelity_acc+,fidelity__fidelity_acc-,fidelity__fidelity_prob+,fidelity__fidelity_prob-,fidelity__topk,fidelity__fidelity_gnn_acc+,fidelity__fidelity_gnn_acc-,fidelity__fidelity_gnn_prob+,fidelity__fidelity_gnn_prob-
ebay2.2,False,random,True,True,0,0.7683983848693532,0.7359165728469356,0.7510422063746364,0.9796762328297417,0.7359165728469356,0.7307663404594698,0.6906075301542552,0.7086099086099087,0.9731362263551104,0.6906075301542552,2254119.15,14.436091798391233,0.4874132907271207,ebay2.2,random,2256370,100,100,True,0.0204,0.000997553592717505,2254119.15,0.0,1.0,1.0,1,0.03,1.0,-0.015909312292933464,0.3199276030063629,1,,,,
ebay2.2,False,random,True,True,0,0.7683983848693532,0.7359165728469356,0.7510422063746364,0.9796762328297417,0.7359165728469356,0.7307663404594698,0.6906075301542552,0.7086099086099087,0.9731362263551104,0.6906075301542552,2254119.15,14.436091798391233,0.4874132907271207,ebay2.2,random,2256370,100,100,True,0.0204,0.000997553592717505,2254119.15,1.6094379124337732,5.0,0.999998180205548,5,0.03,1.0,-0.015909312292933464,0.3199276030063629,5,,,,
ebay2.2,False,random,True,True,0,0.7683983848693532,0.7359165728469356,0.7510422063746364,0.9796762328297417,0.7359165728469356,0.7307663404594698,0.6906075301542552,0.7086099086099087,0.9731362263551104,0.6906075301542552,2254119.15,14.436091798391233,0.4874132907271207,ebay2.2,random,2256370,100,100,True,0.0204,0.000997553592717505,2254119.15,2.302585092992972,10.0,0.9999965592784145,10,0.03,1.0,-0.015909312292933464,0.3199276030063629,10,,,,
ebay2.2,False,random,True,True,0,0.7683983848693532,0.7359165728469356,0.7510422063746364,0.9796762328297417,0.7359165728469356,0.7307663404594698,0.6906075301542552,0.7086099086099087,0.9731362263551104,0.6906075301542552,2254119.15,14.436091798391233,0.4874132907271207,ebay2.2,random,2256370,100,100,True,0.0204,0.000997553592717505,2254119.15,2.7080502010999856,15.0,0.9999952695136581,15,0.03,1.0,-0.015909312292933464,0.3199276030063629,15,,,,
ebay2.2,False,random,True,True,0,0.7683983848693532,0.7359165728469356,0.7510422063746364,0.9796762328297417,0.7359165728469356,0.7307663404594698,0.6906075301542552,0.7086099086099087,0.9731362263551104,0.6906075301542552,2254119.15,14.436091798391233,0.4874132907271207,ebay2.2,random,2256370,100,100,True,0.0204,0.000997553592717505,2254119.15,2.9957322735502054,20.0,0.9999940753408174,20,0.03,1.0,-0.015909312292933464,0.3199276030063629,20,,,,
ebay2.2,False,random,True,True,0,0.7683983848693532,0.7359165728469356,0.7510422063746364,0.9796762328297417,0.7359165728469356,0.7307663404594698,0.6906075301542552,0.7086099086099087,0.9731362263551104,0.6906075301542552,2254119.15,14.436091798391233,0.4874132907271207,ebay2.2,random,2256370,100,100,True,0.0204,0.000997553592717505,2254119.15,3.218875824862447,25.0,0.9999923067189003,25,0.03,1.0,-0.015909312292933464,0.3199276030063629,25,,,,
ebay2.2,False,random,True,True,0,0.7683983848693532,0.7359165728469356,0.7510422063746364,0.9796762328297417,0.7359165728469356,0.7307663404594698,0.6906075301542552,0.7086099086099087,0.9731362263551104,0.6906075301542552,2254119.15,14.436091798391233,0.4874132907271207,ebay2.2,random,2256370,100,100,True,0.0204,0.000997553592717505,2254119.15,3.9120230054067746,50.0,0.9999848809283651,50,0.03,1.0,-0.015909312292933464,0.3199276030063629,50,,,,
ebay2.2,False,random,True,True,0,0.7683983848693532,0.7359165728469356,0.7510422063746364,0.9796762328297417,0.7359165728469356,0.7307663404594698,0.6906075301542552,0.7086099086099087,0.9731362263551104,0.6906075301542552,2254119.15,14.436091798391233,0.4874132907271207,ebay2.2,random,2256370,100,100,True,0.0204,0.000997553592717505,2254119.15,4.605170185904101,100.0,0.9999721933069865,100,0.03,1.0,-0.015909312292933464,0.3199276030063629,100,,,,
ebay2.2,False,random,False,True,0,0.7683983848693532,0.7359165728469356,0.7510422063746364,0.9796762328297417,0.7359165728469356,0.7307663404594698,0.6906075301542552,0.7086099086099087,0.9731362263551104,0.6906075301542552,2254119.15,14.436091798391233,0.4874132907271207,ebay2.2,random,2256370,100,100,False,0.0204,0.000997553592717505,2254119.15,0.0,1.0,1.0,1,,,,,1,0.03,1.0,0.03376239910721779,0.3199276030063629
ebay2.2,False,random,False,True,0,0.7683983848693532,0.7359165728469356,0.7510422063746364,0.9796762328297417,0.7359165728469356,0.7307663404594698,0.6906075301542552,0.7086099086099087,0.9731362263551104,0.6906075301542552,2254119.15,14.436091798391233,0.4874132907271207,ebay2.2,random,2256370,100,100,False,0.0204,0.000997553592717505,2254119.15,1.6094379124337732,5.0,0.999998180205548,5,,,,,5,0.03,1.0,0.03376239910721779,0.3199276030063629
