dataset,topk,explainer_name,num_test_nodes,gpu,f1_score,recall,precision,auc,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
syn5,10,subgraphx,100.0,1.0,0.5881859305125559,0.44,0.9000952380952382,-1.0,0.96,0.97,0.8269131183624268,0.7839381694793701,0.9970793128013611,9.96,3.2436,3410.0,0.9961466275659838,13.14
syn5,20,distance,100.0,1.0,0.812898091735573,0.8591666666666667,0.775475514681397,0.8355658717267179,1.0,0.97,0.8662754893302917,0.7796029448509216,0.9941348433494568,20.0,0.0122,3410.0,0.0012199413489736243,3405.84
syn5,20,gnnexplainer,100.0,1.0,0.7339620926582816,0.7741666666666667,0.7069546988958755,0.7899520082693445,0.99,0.81,0.8502676486968994,0.6976959705352783,0.9941348433494568,20.0,2.6524,3410.0,0.989724340175953,35.04
syn5,20,ig_node,100.0,1.0,0.7815415019762846,0.7183333333333332,0.8571818181818182,0.8577525103366805,0.99,0.66,0.8591400384902954,0.5704969167709351,0.9941348433494568,20.0,0.3144,3410.0,0.7780938416422291,756.7
syn5,20,occlusion,100.0,1.0,0.2422528511080235,0.285,0.2112278962867198,0.5691255660563102,0.74,1.0,0.6107132434844971,0.8678476810455322,0.9941348433494568,20.0,0.1544,3410.0,0.002346041055718473,3402.0
syn5,20,pagerank,100.0,1.0,0.8114229249011857,0.7441666666666668,0.892090909090909,0.871445166371333,1.0,0.79,0.8666999340057373,0.637845516204834,0.9941348433494568,20.0,0.0204,3410.0,0.0008445747800586767,3407.12
syn5,20,pgmexplainer,100.0,1.0,0.808181818181818,0.7408333333333332,0.889,0.8701146879306951,0.99,0.63,0.8581265807151794,0.49570271372795105,0.9941348433494568,20.0,5.6936,3410.0,0.9833782991202349,56.68
syn5,20,random,100.0,1.0,0.008125,0.010833333333333332,0.0065000000000000014,0.499775238728096,0.02,1.0,0.019735854119062424,0.8667395710945129,0.9941348433494568,20.0,0.0,3410.0,0.0002932551319647647,3409.0
syn5,20,sa_node,100.0,1.0,0.8154940711462448,0.7541666666666668,0.8886363636363639,0.8722762847017129,1.0,0.92,0.8667545914649963,0.7170459032058716,0.9941348433494568,20.0,0.0064,3410.0,0.9833782991202349,56.68
syn5,20,subgraphx,100.0,1.0,0.6212066813064592,0.4858333333333333,0.9020710678210677,-1.0,1.0,0.77,0.867662250995636,0.589990496635437,0.9962229132652283,12.88,3.3486,3410.0,0.9962052785923768,12.94
syn5,40,distance,100.0,1.0,0.6447157786936537,0.9808333333333333,0.48144864575149426,0.9628348961409727,1.0,0.33,0.8666999340057373,0.25639626383781433,0.9882696270942688,40.0,0.0151,3410.0,0.0012199413489736243,3405.84
syn5,40,gnnexplainer,100.0,1.0,0.7844145212877243,0.9158333333333333,0.7110541430973133,0.9380450137822407,1.0,0.16,0.8665010929107666,0.13633984327316284,0.9907683730125427,31.48,5.3631,3410.0,0.989724340175953,35.04
syn5,40,ig_node,100.0,1.0,0.755367131153433,0.9708333333333333,0.626784683683526,0.9844743059657414,1.0,0.3,0.8666999340057373,0.22708427906036377,0.9890733361244202,37.26,0.325,3410.0,0.7780938416422291,756.7
syn5,40,occlusion,100.0,1.0,0.1646239177725281,0.285,0.11582379745866954,0.566593079346328,0.74,1.0,0.6107132434844971,0.8678476810455322,0.9882696270942688,40.0,0.1796,3410.0,0.002346041055718473,3402.0
syn5,40,pagerank,100.0,1.0,0.7435227272727272,0.9916666666666666,0.5947142857142856,0.9953642449301043,1.0,0.18,0.8666999340057373,0.12922602891921997,0.9882696270942688,40.0,0.0207,3410.0,0.0008445747800586767,3407.12
syn5,40,pgmexplainer,100.0,1.0,0.7720731243657649,0.9799999999999999,0.64453153657488,0.9894487103760582,1.0,0.15,0.8666852712631226,0.10042014718055725,0.9890908598899841,37.2,6.5301,3410.0,0.9833782991202349,56.68
syn5,40,random,100.0,1.0,0.011591251885369533,0.025000000000000005,0.007544871794871796,0.5003953780271706,0.04,1.0,0.03404448181390762,0.866818904876709,0.9882696270942688,40.0,0.0,3410.0,0.0002932551319647647,3409.0
syn5,40,sa_node,100.0,1.0,0.7709278480734298,0.9866666666666666,0.6408518828952264,0.9928066548533175,1.0,0.22,0.8666999340057373,0.14935638010501862,0.9890908598899841,37.2,0.0061,3410.0,0.9833782991202349,56.68
syn5,40,subgraphx,100.0,1.0,0.6263838186685811,0.4925,0.9020710678210677,-1.0,1.0,0.74,0.8676337599754333,0.5698411464691162,0.9961466789245605,13.14,4.628,3410.0,0.9961466275659836,13.14
syn5,100,distance,100.0,1.0,0.31791936060841697,0.9991666666666668,0.18910244923298883,0.9954047302618626,1.0,0.04,0.8666999340057373,0.02452341467142105,0.970674455165863,100.0,0.0122,3410.0,0.0012199413489736243,3405.84
syn5,100,gnnexplainer,100.0,1.0,0.7843449844654249,0.9283333333333332,0.70904666001258,0.9622506275841702,1.0,0.0,0.8666999340057373,0.0,0.989724338054657,35.04,2.6448,3410.0,0.989724340175953,35.04
syn5,100,ig_node,100.0,1.0,0.6122316292832858,0.99,0.48082040081944016,0.9940244142547746,1.0,0.08,0.8666999340057373,0.05205100029706955,0.9819003343582153,61.72,0.3121,3410.0,0.7780938416422291,756.7
syn5,100,occlusion,100.0,1.0,0.09212093467738133,0.2866666666666666,0.05488225866191687,0.5596239417208111,0.74,1.0,0.6107132434844971,0.8678476810455322,0.970674455165863,100.0,0.1437,3410.0,0.002346041055718473,3402.0
syn5,100,pagerank,100.0,1.0,0.3869124423963135,1.0,0.23985882352941176,0.9994994093325458,1.0,0.0,0.8666999340057373,0.0,0.970674455165863,100.0,0.0256,3410.0,0.0008445747800586767,3407.12
syn5,100,pgmexplainer,100.0,1.0,0.6636471318831554,1.0,0.5262495128205573,0.9993064579641662,1.0,0.0,0.8666999340057373,0.006317612715065479,0.9840588569641113,54.36,9.1948,3410.0,0.9833782991202349,56.68
syn5,100,random,100.0,1.0,0.013561726447047548,0.06249999999999999,0.007606150102965273,0.5011483559755858,0.15,1.0,0.12178517132997513,0.8671362400054932,0.970674455165863,100.0,0.0001,3410.0,0.0002932551319647647,3409.0
