dataset,sparsity,explainer_name,num_test_nodes,gpu,f1_score_top,recall_top,precision_top,ged,auc_top,f1_score,recall,precision,auc,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,edge_mask size
syn1,0.7,distance,200.0,1.0,0.6843181818181818,0.675,0.6954999999999998,3.955,0.9983276903367496,0.011779860287300546,1.0,0.005924882740652092,0.9983276903367496,0.545,0.0,0.5294766426086426,-0.0028403019532561302,0.6999998688697815,1233.0,0.0168,4063.705
syn1,0.7,gnnexplainer,200.0,1.0,0.32416666666666666,0.3175,0.33216666666666667,8.615,0.9646293923865301,0.447868524705121,0.9916666666666666,0.3509852260151261,0.9586029262241743,0.54,0.03,0.49196213483810425,0.029510974884033203,0.934581458568573,268.87,2.5523,303.41
syn1,0.7,ig_node,200.0,1.0,0.43833333333333335,0.43833333333333335,0.43833333333333335,4.915,0.4949422482511794,0.00773897805418675,0.495,0.003916618034943199,0.6714122742801365,0.05,0.505,0.05174382030963898,0.4584886133670807,0.7066738605499268,1205.57,0.2659,3944.33
syn1,0.7,occlusion,200.0,1.0,0.05416666666666666,0.05416666666666666,0.05416666666666666,9.72,0.04428293273141369,0.0006718912166461551,0.05416666666666666,0.00033804230154988834,0.3672110379046689,0.245,0.5,0.19346530735492706,0.4617348909378052,0.6999998688697815,1233.0,0.9353,4109.0
syn1,0.7,pagerank,200.0,1.0,0.8683333333333334,0.8683333333333334,0.8683333333333334,2.355,0.9998828696925329,0.019261637239165328,1.0,0.009724473257698542,0.9998828696925329,0.555,0.0,0.5102324485778809,-0.0003199285129085183,0.6999998688697815,1233.0,0.0218,4108.0
syn1,0.7,pgmexplainer,200.0,1.0,0.5703030303030303,0.57,0.5706666666666667,5.06,0.9632003416300634,0.16657755030220364,0.9616666666666666,0.10949617617275478,0.9553908410606801,0.555,0.0,0.5102324485778809,-0.005457116290926933,0.8715231418609619,528.04,5.3293,820.02
syn1,0.7,random,200.0,1.0,0.003333333333333333,0.003333333333333333,0.003333333333333333,14.5,0.49227611029770624,0.005646426902388244,0.4958333333333333,0.0028393817724265435,0.4960218399219131,0.29,0.51,0.15971694886684418,0.3894284963607788,0.6999998688697815,1233.0,0.0001,4109.0
syn1,0.7,sa_node,200.0,1.0,0.018787878787878787,0.018333333333333333,0.019333333333333334,9.24,0.04169432243370749,0.0005591227244875143,0.04166666666666667,0.0002814532553341555,0.37653509842199445,0.05,0.555,0.004098960664123297,0.5181475281715393,0.6999998688697815,1233.0,0.0029,4108.0
syn1,0.99,distance,200.0,1.0,0.6986060606060606,0.6866666666666665,0.7133333333333334,3.92,0.9981725333496014,0.3017099178139815,1.0,0.17771705510461808,0.9790435374979665,0.555,0.04,0.5102324485778809,-0.020406804978847504,0.9900245070457458,41.0,0.0197,4066.36
syn1,0.99,gnnexplainer,200.0,1.0,0.3395909090909091,0.3316666666666667,0.34925000000000006,8.47,0.9641679376118433,0.4446891995306858,0.7225,0.35034439230588915,0.837308748169839,0.28,0.365,0.24761368334293365,0.30089080333709717,0.9921545386314392,32.245,2.6286,303.41
syn1,0.99,ig_node,200.0,1.0,0.43833333333333335,0.43833333333333335,0.43833333333333335,4.915,0.4949422482511794,0.17132911915942897,0.4916666666666667,0.10430401645321392,0.7432363347974622,0.05,0.505,0.05174382030963898,0.45849305391311646,0.9900245070457458,41.0,0.2748,3944.33
syn1,0.99,occlusion,200.0,1.0,0.05416666666666666,0.05416666666666666,0.05416666666666666,9.72,0.04428293273141369,0.013857539315448657,0.05416666666666666,0.007945121951219512,0.5087089230518953,0.245,0.5,0.19346530735492706,0.4617348909378052,0.9900245070457458,41.0,0.797,4109.0
syn1,0.99,pagerank,200.0,1.0,0.8683333333333334,0.8683333333333334,0.8683333333333334,2.355,0.9998828696925329,0.4444444444444446,1.0,0.28571428571428564,0.9998828696925328,0.555,0.0,0.5102324485778809,-0.006687306333333254,0.9900245070457458,41.0,0.0245,4108.0
syn1,0.99,pgmexplainer,200.0,1.0,0.5616666666666665,0.5616666666666665,0.5616666666666665,4.925,0.9655677566292499,0.3203903569604972,0.6941666666666666,0.21164328298195884,0.8445466284366359,0.37,0.285,0.35894444584846497,0.20517314970493317,0.990571916103363,38.75,6.1561,816.91
syn1,0.99,random,200.0,1.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,14.43,0.4882641430779242,0.003404255319148936,0.01333333333333333,0.001951219512195122,0.498342280787376,0.02,0.815,0.007721450179815292,0.6224226951599121,0.9900245070457458,41.0,0.0,4109.0
syn1,0.99,sa_node,200.0,1.0,0.018787878787878787,0.018333333333333333,0.019333333333333334,9.24,0.04169432243370749,0.014501915708812261,0.03333333333333334,0.00927148033126294,0.5117964047502848,0.04,0.555,0.003969739191234112,0.5216767191886902,0.9900245070457458,41.0,0.0058,4108.0
syn1,0.997,distance,200.0,1.0,0.6986060606060606,0.6866666666666665,0.7133333333333334,3.92,0.9981725333496014,0.7868743805214393,0.915,0.6975542929292929,0.8791201500732064,0.445,0.19,0.39517271518707275,0.10436384379863739,0.9970801472663879,12.0,0.0198,4066.36
syn1,0.997,gnnexplainer,200.0,1.0,0.3240757575757576,0.3175,0.3324166666666666,8.5,0.9642298072230356,0.4043882873662285,0.4883333333333333,0.3501944444444445,0.6744707784285018,0.2,0.555,0.11818797886371613,0.4049011170864105,0.9970801472663879,12.0,5.4222,303.41
syn1,0.997,ig_node,200.0,1.0,0.43833333333333335,0.43833333333333335,0.43833333333333335,4.915,0.4949422482511794,0.43935897435897436,0.44,0.43880952380952387,0.719219944688466,0.05,0.555,0.05174382030963898,0.4799674153327942,0.9970801472663879,12.0,0.274,3944.33
syn1,0.997,occlusion,200.0,1.0,0.05416666666666666,0.05416666666666666,0.05416666666666666,9.72,0.04428293273141369,0.03611111111111111,0.05416666666666666,0.02708333333333333,0.5121514051569871,0.245,0.5,0.19346530735492706,0.4617348909378052,0.9970801472663879,12.0,0.9058,4109.0
syn1,0.997,pagerank,200.0,1.0,0.8683333333333334,0.8683333333333334,0.8683333333333334,2.355,0.9998828696925329,0.8683333333333334,0.8683333333333334,0.8683333333333334,0.934091020009761,0.555,0.05,0.5102324485778809,-0.014526606537401676,0.9970801472663879,12.0,0.0246,4108.0
syn1,0.997,pgmexplainer,200.0,1.0,0.5725,0.5725,0.5725,4.92,0.9631761428339027,0.574551282051282,0.5758333333333333,0.5734523809523809,0.7873832763949895,0.27,0.4,0.27027690410614014,0.29242485761642456,0.9970801472663879,12.0,6.5415,815.66
syn1,0.997,sa_node,200.0,1.0,0.018787878787878787,0.018333333333333333,0.019333333333333334,9.24,0.04169432243370749,0.02205128205128205,0.023333333333333334,0.020952380952380955,0.5102436147714333,0.04,0.555,0.002697155112400651,0.5259470343589783,0.9970801472663879,12.0,0.0031,4108.0
