dataset,true_label_as_target,hard_mask,sparsity,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
citeseer,False,False,0.99,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.44,0.02,0.4994973838329315,0.2306920289993286,0.9938493371009827,76.46,0.4954,12431.0,0.49831550156865917,6236.44
citeseer,False,False,0.99,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.0,0.6226211190223694,0.07998121529817581,0.9970670938491821,36.46,1.1394,12431.0,0.9944823425307701,68.59
citeseer,False,False,0.99,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.53,0.03,0.5473922491073608,0.17707306146621704,0.9900250434875488,124.0,0.8872,12431.0,0.00010216394497623348,12429.73
citeseer,False,False,0.99,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.73,0.0,0.5992149710655212,0.04540261626243591,0.9958322644233704,51.81,28.8918,12431.0,0.9878014640817314,151.64
citeseer,False,False,0.99,random,100.0,-1.0,-1.0,-1.0,-1.0,0.08,0.82,0.18902450799942017,0.6287018060684204,0.9900250434875488,124.0,0.0002,12431.0,8.044405116236497e-05,12430.0
citeseer,False,False,0.99,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.46,0.26,0.4412509799003601,0.21644604206085205,0.9941550493240356,72.66,0.0504,12431.0,0.6356672834043923,4529.02
citeseer,False,False,0.99,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.47,0.22,0.34908226132392883,0.28214073181152344,0.999570369720459,5.34,260.3691,12431.0,0.9995704287667934,5.34
citeseer,False,False,0.997,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.32,0.33,0.34933167695999146,0.41253337264060974,0.9983662962913513,20.31,1.5152,12431.0,0.9944823425307701,68.59
citeseer,False,False,0.997,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.33,0.16,0.45597511529922485,0.29555344581604004,0.9978602528572083,26.6,0.8973,12431.0,0.5269769125573167,5880.15
citeseer,False,False,0.997,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.54,0.16,0.49766799807548523,0.4114924669265747,0.9983662962913513,20.31,0.6997,12431.0,0.9944823425307701,68.59
citeseer,False,False,0.997,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.33,0.08,0.4832783043384552,0.273334801197052,0.9983767867088318,20.18,0.0047,12431.0,0.8474064837905242,1896.89
citeseer,False,False,0.997,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.42,0.04,0.48622390627861023,0.24377378821372986,0.9978288412094116,26.99,0.4946,12431.0,0.49831550156865917,6236.44
citeseer,False,False,0.997,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.0,0.6234491467475891,0.08410025388002396,0.9983662962913513,20.31,1.117,12431.0,0.9944823425307701,68.59
