dataset,true_label_as_target,hard_mask,sparsity,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
citeseer,False,False,0.997,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.68,0.01,0.5673186182975769,0.08005725592374802,0.9981241822242737,23.32,29.8298,12431.0,0.9880275118654979,148.83
citeseer,False,False,0.997,random,100.0,-1.0,-1.0,-1.0,-1.0,0.01,0.82,0.0027024203445762396,0.6284458041191101,0.9970236420631409,37.0,0.0002,12431.0,8.044405116236497e-05,12430.0
citeseer,False,True,0.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.15019550919532776,0.5269769430160522,5880.15,0.9895,12431.0,0.5269769125573167,5880.15
citeseer,False,True,0.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.15019549429416656,0.9944823980331421,68.59,0.8697,12431.0,0.9944823425307701,68.59
citeseer,False,True,0.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.15019549429416656,0.9944823980331421,68.59,1.1753,12431.0,0.9944823425307701,68.59
citeseer,False,True,0.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.15019549429416656,0.00010217606904916465,12429.73,0.9133,12431.0,0.00010216394497623348,12429.73
citeseer,False,True,0.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.1501993089914322,0.9880276322364807,148.83,31.6841,12431.0,0.9880275118654979,148.83
citeseer,False,True,0.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.15019549429416656,8.046627044677734e-05,12430.0,0.0001,12431.0,8.044405116236497e-05,12430.0
citeseer,False,True,0.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.5,0.19,0.34112218022346497,0.2424190640449524,0.999570369720459,5.34,337.811,12431.0,0.9995704287667934,5.34
citeseer,False,True,0.7,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.15019549429416656,0.8137101531028748,2315.77,0.9933,12431.0,0.5269769125573167,5880.15
citeseer,False,True,0.7,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.15019549429416656,0.9944823980331421,68.59,1.1927,12431.0,0.9944823425307701,68.59
citeseer,False,True,0.7,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.15019549429416656,0.9944823980331421,68.59,1.1792,12431.0,0.9944823425307701,68.59
citeseer,False,True,0.7,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.15019549429416656,0.7000242471694946,3729.0,1.0176,12431.0,0.00010216394497623348,12429.73
citeseer,False,True,0.7,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.1501993089914322,0.9880276322364807,148.83,29.3229,12431.0,0.9880275118654979,148.83
citeseer,False,True,0.7,random,100.0,-1.0,-1.0,-1.0,-1.0,0.2,0.43,0.2090526819229126,0.32304492592811584,0.7000242471694946,3729.0,0.0002,12431.0,8.044405116236497e-05,12430.0
citeseer,False,True,0.7,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.5,0.19,0.34112218022346497,0.2424190640449524,0.999570369720459,5.34,241.3362,12431.0,0.9995704287667934,5.34
citeseer,False,True,0.99,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.78,0.08,0.5965526103973389,0.15019549429416656,0.9935107231140137,80.67,0.9932,12431.0,0.5269769125573167,5880.15
citeseer,False,True,0.99,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.74,0.11,0.544605016708374,0.17706379294395447,0.9970670938491821,36.46,1.2396,12431.0,0.9944823425307701,68.59
citeseer,False,True,0.99,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.73,0.09,0.5425812005996704,0.15816420316696167,0.9970670938491821,36.46,1.1886,12431.0,0.9944823425307701,68.59
citeseer,False,True,0.99,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.08,0.6288793087005615,0.15019549429416656,0.9900250434875488,124.0,0.9956,12431.0,0.00010216394497623348,12429.73
citeseer,False,True,0.99,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.78,0.08,0.6007630825042725,0.1501993089914322,0.9958274364471436,51.87,30.0305,12431.0,0.9880275118654979,148.83
citeseer,False,True,0.99,random,100.0,-1.0,-1.0,-1.0,-1.0,0.08,0.8,0.14738087356090546,0.6192176938056946,0.9900250434875488,124.0,0.0002,12431.0,8.044405116236497e-05,12430.0
citeseer,False,True,0.99,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.5,0.19,0.34112218022346497,0.2424190640449524,0.999570369720459,5.34,303.3046,12431.0,0.9995704287667934,5.34
citeseer,False,True,0.997,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.73,0.08,0.5452541708946228,0.16030891239643097,0.9978602528572083,26.6,1.0062,12431.0,0.5269769125573167,5880.15
citeseer,False,True,0.997,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.61,0.14,0.4729068875312805,0.21234647929668427,0.9983662962913513,20.31,0.8655,12431.0,0.9944823425307701,68.59
citeseer,False,True,0.997,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.65,0.1,0.4835096597671509,0.18123900890350342,0.9983662962913513,20.31,1.1439,12431.0,0.9944823425307701,68.59
