index,dataset,true_label_as_target,hard_mask,sparsity,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_sparsity,expl_edges,mask_size_init,mask_entropy_init,max_avg_init,mask_size_transf,mask_entropy_transf,max_avg_transf,time,number_of_edges,mask_sparsity_init,non_zero_values_init
0,actor,False,False,0.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.28,0.15700578689575195,0.09215447306632996,0.9801629781723022,1208.43,1208.43,5.321118172325082,0.7076501648687082,1208.43,5.321118172325082,0.7076501648687082,7.5908,60918.0,0.9801630060080769,1208.43
1,actor,False,False,0.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.97,0.79,0.19554811716079712,0.16169263422489166,6.99365118634887e-05,60913.74,60913.74,10.960461184489214,0.11051127355757114,60913.74,10.960461184489214,0.11051127355757114,0.7178,60918.0,6.993006993007645e-05,60913.74
2,actor,False,False,0.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.94,0.85,0.19913902878761292,0.1923992931842804,0.9801629781723022,1208.43,1208.43,4.581635758003056,0.07710450936123492,1208.43,4.581635758003056,0.07710450936123492,4.0625,60918.0,0.9801630060080769,1208.43
3,actor,False,False,0.0,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.85,0.74,0.1856602132320404,0.1619308441877365,0.34694358706474304,39782.89,39782.89,8.61787465864517,0.1094562080542481,39782.89,8.61787465864517,0.1094562080542481,0.0051,60918.0,0.34694359630979393,39782.89
4,actor,False,False,0.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.93,0.74,0.19031406939029694,0.15690530836582184,3.116667357971892e-05,60916.1,60916.1,10.971590175366323,0.16059192196235195,60916.1,10.971590175366323,0.16059192196235195,0.3951,60918.0,3.118946780918841e-05,60916.1
5,actor,False,False,0.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.98,0.13,0.20678697526454926,0.057214681059122086,0.9801629781723022,1208.43,1208.43,5.725024465526722,0.82303940839564,1208.43,5.725024465526722,0.82303940839564,2.7443,60918.0,0.9801630060080769,1208.43
6,actor,False,False,0.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.86,0.72,0.18201316893100739,0.15633989870548248,0.7292458415031433,16493.8,16493.8,8.544326611459688,0.001299857828665019,16493.8,8.544326611459688,0.001299857828665019,0.8342,60918.0,0.7292458714993925,16493.8
7,actor,False,False,0.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.95,0.66,0.19259747862815857,0.14032310247421265,0.9125052094459534,5330.01,5330.01,7.596861917671471,0.25369616208762863,5330.01,7.596861917671471,0.25369616208762863,33.0188,60918.0,0.9125051708854527,5330.01
8,actor,False,False,0.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.96,0.97,0.21416139602661133,0.2140733301639557,0.0010239994153380394,60855.62,60855.62,10.824148723260675,0.45385437677506885,60855.62,10.824148723260675,0.45385437677506885,0.0005,60918.0,0.0010239994747037007,60855.62
9,actor,False,False,0.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.74,0.42,0.15357579290866852,0.07957714051008224,0.4958478510379791,30711.94,30711.94,9.075839079370974,0.544493180603563,30711.94,9.075839079370974,0.544493180603563,0.0144,60918.0,0.49584786105912854,30711.94
10,actor,False,False,0.7,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.86,0.28,0.17360712587833405,0.08778753876686096,0.9801629781723022,1208.43,1208.43,5.282312809877983,0.7174919663747121,1208.43,5.282312809877983,0.7174919663747121,4.0222,60918.0,0.9801630060080769,1208.43
11,actor,False,False,0.7,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.97,0.79,0.19554811716079712,0.16169263422489166,0.7000064849853516,18275.0,60913.74,10.960461184489214,0.11051127355757114,18275.0,9.784677258115162,0.15877757605820106,0.9494,60918.0,6.993006993007645e-05,60913.74
