dataset,true_label_as_target,hard_mask,topk,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_size_init,mask_entropy_init,max_avg_init,mask_size_transf,mask_entropy_transf,max_avg_transf,time,number_of_edges
syn1,False,False,10.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.19,0.68,0.1608297973871231,0.5836549401283264,4104.06,8.133763279122341,0.8034724727829671,10.0,2.300685315834815,0.9422764102332966,0.2725,4110.0
syn1,False,False,10.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.45,0.28,0.4150720238685608,0.21959058940410614,4108.95,8.311185367201626,0.8961034449511913,10.0,2.3002430839874863,0.9073332328193559,0.5389,4110.0
syn1,False,False,10.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.68,0.19,0.6101765632629395,0.18484626710414886,2999.84,6.340081588738761,0.0010067343477517393,10.0,2.280606090074633,0.6304663739721823,0.0181,4110.0
syn1,False,False,10.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.01,0.68,0.007227609865367413,0.5599352121353149,763.34,5.4302742087261775,0.0026598690497896637,10.0,2.3024660959162997,0.9647694442226641,94.6598,4110.0
syn1,False,False,10.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.5,0.54,0.4105589985847473,0.42061302065849304,701.42,5.676529521759492,0.2354743747555898,10.0,2.2954918570077014,0.830606040137937,5.4466,4110.0
syn1,False,False,10.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.36,0.68,0.24031966924667358,0.5570504665374756,4104.9,8.127103166024556,0.43579386659010394,10.0,2.302584827040839,0.998306229599291,0.0001,4110.0
syn1,False,False,10.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.5,0.68,0.37059637904167175,0.583915650844574,3384.78,7.424401001395878,0.8066358438907816,10.0,2.3010812237265603,0.9459902860919535,0.0063,4110.0
syn1,False,False,10.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.48,0.55,0.40743255615234375,0.4515684247016907,9.24,1.9907367269862852,1.0,7.4,1.8285587808287984,1.0,0.2522,4110.0
syn1,False,False,15.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.27,0.73,0.168666273355484,0.5991213321685791,249.76,3.3963913174738183,0.2623678241491888,14.89,2.2858662841429855,0.7318277236406522,3.408,4110.0
syn1,False,False,15.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.48,0.68,0.3884389400482178,0.6014988422393799,4053.49,8.17984190538191,0.07753128861174101,15.0,2.589736412513492,0.38367421957671943,0.0124,4110.0
