dataset,explainer_name,seed,num_test_x,f1_score,recall,precision,num_test_y,mask_size,mask_entropy,max_avg,cc_ratio,num_test,time,number_of_edges
syn1,basic_gnnexplainer,2.0,20.0,0.3096969696969697,0.30333333333333334,0.31733333333333336,20.0,234.95999999999998,3.4157662769785526,0.32904144893588244,0.06593473922723049,20.0,4.259180000000001,4110.0
syn1,distance,2.0,20.0,0.6784545454545455,0.6683333333333333,0.6910000000000001,20.0,4055.1800000000003,8.180945485889527,0.0774908751574704,0.0014285714285714286,20.0,0.01904,4110.0
syn1,gnnexplainer,2.0,20.0,0.29757575757575755,0.29166666666666663,0.30466666666666664,20.0,234.95999999999998,3.4368762201019307,0.30971269042927724,0.06593473922723049,20.0,5.60452,4110.0
syn1,ig,2.0,20.0,0.4465757575757577,0.44333333333333347,0.45066666666666666,20.0,3917.7600000000007,8.06258994725864,0.4278683650935891,0.001902615915955663,20.0,0.21400000000000002,4110.0
syn1,occlusion,2.0,20.0,0.17166666666666666,0.17166666666666666,0.17166666666666666,20.0,4108.969999999999,8.30819105101344,0.875819269501303,0.0014285714285714286,20.0,0.72046,4110.0
syn1,pagerank,2.0,20.0,0.8616666666666667,0.8616666666666667,0.8616666666666667,20.0,3007.7599999999998,6.364215263354316,0.0010058997479748736,0.0027493720986488377,20.0,0.02858,4110.0
syn1,pgexplainer,2.0,20.0,0.652,0.6366666666666667,0.6766666666666666,20.0,14.76,1.4122657779173575,0.004371645198472586,0.2808422640740752,20.0,0.03188,4110.0
syn1,pgmexplainer,2.0,20.0,0.5433333333333333,0.5433333333333333,0.5433333333333333,20.0,744.8,5.711957422765558,0.2536745385864413,0.015661336098684975,20.0,4.82576,4110.0
syn1,random,2.0,20.0,0.005,0.005,0.005,20.0,4104.66,8.126558517187515,0.4837332679075527,0.0014285714285714286,20.0,0.0001,4110.0
syn1,sa,2.0,20.0,0.043333333333333335,0.043333333333333335,0.043333333333333335,20.0,3995.06,8.179685860098164,0.9276700470269301,0.0016195897129078168,20.0,0.004620000000000001,4110.0
syn1,subgraphx,2.0,20.0,0.5988903318903318,0.5133333333333333,0.7803333333333334,20.0,8.879999999999999,2.137613161786281,1.0,0.14516666666666667,20.0,248.35845999999998,4110.0
syn3,basic_gnnexplainer,2.0,20.0,0.6638188405797102,0.6208333333333333,0.7179823232323232,20.0,123.5,2.63723199259073,0.13660614846659766,0.0842003047864355,20.0,5.52628,5080.0
syn3,distance,2.0,20.0,0.7308201581027667,0.7208333333333332,0.7420454545454545,20.0,5039.6900000000005,8.35882958847574,0.078794216342888,0.000980392156862745,20.0,0.02672,5080.0
syn3,gnnexplainer,2.0,20.0,0.6603322040278563,0.6141666666666666,0.718729797979798,20.0,123.5,2.6570728386760165,0.12662192838890543,0.0842003047864355,20.0,5.37206,5080.0
syn3,ig,2.0,20.0,0.18599143610013172,0.18416666666666665,0.18810606060606058,20.0,4426.660000000001,7.821791065796177,0.7844522358370879,0.007738095445096724,20.0,0.27862,5080.0
syn3,occlusion,2.0,20.0,0.0,0.0,0.0,20.0,5077.93,8.526546465603417,0.9905117066386039,0.000980392156862745,20.0,0.48032,5080.0
