dataset,true_label_as_target,hard_mask,topk,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,f1_score,precision,recall,mask_size_init,mask_entropy_init,max_avg_init,cc_ratio_init,mask_size_transf,mask_entropy_transf,max_avg_transf,cc_ratio_transf,time,number_of_edges
syn1,True,True,2.0,pgexplainer,20.0,0.0,0.55,0.0,0.45087185502052307,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,923.7,5.82317199177394,0.01653129427957888,0.19425805253696501,2.0,0.6931471805599453,1.0,0.5,49.9946,4110.0
syn1,True,True,2.0,pgmexplainer,20.0,0.35,0.55,0.2106209546327591,0.37666255235671997,-1.0,-1.0,-1.0,-1.0,0.24285714285714283,0.85,0.14166666666666664,802.3,5.698170467642355,0.24972856268444293,0.020465026039857327,2.0,0.6931471805599453,1.0,0.5,3.1267,4110.0
syn1,True,True,2.0,random,20.0,0.0,0.55,-4.887580757895194e-07,0.45087185502052307,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4104.7,8.126336122121874,0.4267193171526162,0.0014285714285714286,2.0,0.6931471714019019,0.9997947417641381,0.5,0.0002,4110.0
syn1,True,True,2.0,sa,20.0,0.55,0.55,0.370618999004364,0.46711158752441406,-1.0,-1.0,-1.0,-1.0,0.02857142857142857,0.1,0.016666666666666666,3728.3,7.83762953814387,0.8919433566541951,0.002128294036061027,2.0,0.6931471805599453,1.0,0.5,0.0036,4110.0
syn1,True,True,2.0,subgraphx,20.0,0.2,0.55,0.12756872177124023,0.4426249563694,-1.0,-1.0,-1.0,-1.0,0.39821428571428574,0.925,0.2583333333333333,9.6,1.9908069252710916,1.0,0.2766666666666667,2.0,0.6931471805599453,1.0,0.425,0.1252,4110.0
syn1,True,True,3.0,basic_gnnexplainer,20.0,0.15,0.6,0.10108401626348495,0.47539225220680237,-1.0,-1.0,-1.0,-1.0,0.2125,0.325,0.15833333333333333,281.8,3.8139701299014654,0.42557504506308924,0.06498174457685586,3.0,1.0986068438891088,0.9964490005397518,0.40750000000000003,3.2343,4110.0
syn1,True,True,3.0,distance,20.0,0.1,0.55,-0.02692367136478424,0.4263094961643219,-1.0,-1.0,-1.0,-1.0,0.5638888888888888,0.8833333333333334,0.4166666666666667,4052.1,8.178818725297734,0.07516330341395817,0.0014285714285714286,3.0,1.0665704505765026,0.9969263888888887,0.26666666666666666,0.0145,4110.0
syn1,True,True,3.0,gnnexplainer,20.0,0.2,0.55,0.1333753764629364,0.43372541666030884,-1.0,-1.0,-1.0,-1.0,0.20833333333333334,0.35,0.15,281.8,3.6935496545516573,0.32527619456663737,0.06498174457685586,3.0,1.078981492587064,0.9959776212128381,0.4058333333333334,3.1841,4110.0
syn1,True,True,3.0,ig,20.0,0.1,0.55,-0.005913068540394306,0.4672020971775055,-1.0,-1.0,-1.0,-1.0,0.05,0.1,0.03333333333333333,4097.1,8.20425696241743,0.8923134702121118,0.0016428571428571432,3.0,1.0984863338427633,0.9998978271680619,0.42333333333333334,0.1724,4110.0
syn1,True,True,3.0,occlusion,20.0,0.45,0.2,0.38599568605422974,0.10226394981145859,-1.0,-1.0,-1.0,-1.0,0.2333333333333333,0.35,0.175,4109.0,8.309862676151068,0.9249462863877405,0.0014285714285714286,3.0,1.0976092910050967,0.9485360468050856,0.37750000000000006,0.6812,4110.0
