dataset,explainer_name,num_test_nodes,gpu,f1_score_top,recall_top,precision_top,ged,auc_top,f1_score,recall,precision,auc,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
syn1,distance,200.0,1.0,0.6986060606060606,0.6866666666666665,0.7133333333333334,-1.0,-1.0,0.0058225717556280995,1.0,0.0029197862102786796,-1.0,0.555,0.0,0.5102324485778809,0.0,0.010617997497320175,4066.36,0.0171,4110.0,0.01061800486618004,4066.36
syn1,gnnexplainer,200.0,1.0,0.32818181818181813,0.32,0.33799999999999997,-1.0,-1.0,0.44790107248227073,1.0,0.35100136207851024,-1.0,0.555,0.0,0.5102324485778809,0.0,0.9261776208877563,303.41,5.5336,4110.0,0.9261776155717772,303.41
syn1,ig_node,200.0,1.0,0.43833333333333335,0.43833333333333335,0.43833333333333335,-1.0,-1.0,0.007163039553814795,0.9158333333333334,0.003618153498146205,-1.0,0.555,0.24,0.5071192383766174,0.2526967525482178,0.04030899703502655,3944.33,0.2779,4110.0,0.040309002433089984,3944.33
syn1,occlusion,200.0,1.0,0.05416666666666666,0.05416666666666666,0.05416666666666666,-1.0,-1.0,0.005822416302765647,1.0,0.00291970802919708,-1.0,0.555,0.0,0.3561576008796692,-0.0963636189699173,0.00024330615997314453,4109.0,0.9668,4110.0,0.00024330900243307862,4109.0
syn1,pagerank,200.0,1.0,0.8683333333333334,0.8683333333333334,0.8683333333333334,-1.0,-1.0,0.005825242718446601,1.0,0.0029211295034079843,-1.0,0.555,0.0,0.5102324485778809,0.0,0.00048661231994628906,4108.0,0.0252,4110.0,0.00048661800486615725,4108.0
syn1,pgmexplainer,200.0,1.0,0.5685606060606061,0.5683333333333334,0.5688333333333334,-1.0,-1.0,0.1642522348587848,1.0,0.1082565003622879,-1.0,0.555,0.0,0.5102324485778809,-5.1206647185608745e-05,0.8021848797798157,813.02,5.5697,4110.0,0.802184914841849,813.02
syn1,random,200.0,1.0,0.0025,0.0025,0.0025,-1.0,-1.0,0.005822416302765647,1.0,0.00291970802919708,-1.0,0.555,0.0,0.5102324485778809,-0.0001574617635924369,0.00024330615997314453,4109.0,0.0001,4110.0,0.00024330900243307862,4109.0
syn1,sa_node,200.0,1.0,0.018787878787878787,0.018333333333333333,0.019333333333333334,-1.0,-1.0,0.004854368932038835,0.8333333333333335,0.002434274586173321,-1.0,0.555,0.295,0.5070881247520447,0.27652299404144287,0.00048661231994628906,4108.0,0.004,4110.0,0.00048661800486615725,4108.0
syn1,subgraphx,200.0,1.0,0.6808181818181818,0.6425,0.72775,-1.0,-1.0,0.7747629037629037,0.7691666666666667,0.8097619047619048,-1.0,0.45,0.23,0.40885281562805176,0.12325549870729446,0.9274379014968872,298.23,2.2555,4110.0,0.9274379562043807,10.53
syn3,distance,200.0,1.0,0.7228130528891399,0.71125,0.7361540404040404,-1.0,-1.0,0.009404720504221713,1.0,0.004724576915085299,-1.0,0.0,0.0,0.018804602324962616,0.0,0.008171260356903076,5038.49,0.0225,5080.0,0.008171259842519676,5038.49
syn3,gnnexplainer,200.0,1.0,0.6108897986071898,0.5820833333333334,0.6451161616161616,-1.0,-1.0,0.7511196905714925,0.9283333333333335,0.708028306337838,-1.0,0.0,0.0,0.018804602324962616,0.0,0.9747323393821716,128.36,5.4594,5080.0,0.9747322834645675,128.36
syn3,ig_node,200.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.008522663161697452,0.9058333333333333,0.004281473008459677,-1.0,0.0,0.0,0.018804602324962616,-0.0005425268318504095,0.00045864732237532735,5077.67,0.3112,5080.0,0.0004586614173228004,5077.67
syn3,occlusion,200.0,1.0,0.33230307735742515,0.3208333333333333,0.3458409090909091,-1.0,-1.0,0.06449227682984489,1.0,0.053925292342122545,-1.0,0.0,0.0,-0.002363128587603569,-0.0006525313947349787,0.06901675462722778,4729.395,0.4339,5080.0,0.06901673228346472,4729.395
syn3,pagerank,200.0,1.0,0.935673583662714,0.93375,0.9379621212121211,-1.0,-1.0,0.009410049115687045,1.0,0.004727266463500364,-1.0,0.0,0.0,0.018804602324962616,0.0,0.0006043121102266014,5076.93,0.0308,5080.0,0.0006043307086614075,5076.93
syn3,pgmexplainer,200.0,1.0,0.6441310935441371,0.6429166666666667,0.6456666666666666,-1.0,-1.0,0.5367752646288951,0.9958333333333332,0.45159282120690913,-1.0,0.0,0.0,0.018804602324962616,-1.3581216080638114e-05,0.932625949382782,342.26,8.7511,5080.0,0.9326259842519685,342.26
syn3,random,200.0,1.0,0.004583333333333333,0.004583333333333333,0.004583333333333333,-1.0,-1.0,0.009404388714733541,1.0,0.004724409448818898,-1.0,0.0,0.0,0.018690822646021843,-3.0791759400017327e-06,0.00019687414169311523,5079.0,0.0001,5080.0,0.00019685039370076485,5079.0
syn3,sa_node,200.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.00813578437435946,0.8645833333333333,0.004087122230015374,-1.0,0.0,0.0,-0.003915244247764349,-0.0002506968448869884,0.0006397506804205477,5076.75,0.0046,5080.0,0.0006397637795275429,5076.75
syn3,subgraphx,200.0,1.0,0.5685860624882363,0.5516666666666667,0.5901300505050505,-1.0,-1.0,0.7132871854831876,0.6066666666666667,0.918436618936619,-1.0,0.0,0.0,0.01727915368974209,-0.003268452826887369,0.9768917560577393,117.39,1.9539,5080.0,0.9768917322834649,15.79
