,explainer_name,charact_phen_hard,charact_phen_soft,charact_gnn_hard,charact_gnn_soft
0,basic_gnnexplainer,0.6893615576231384,0.45897378720465976,0.6377959239063904,0.46673611985292074
1,distance,0.7984222942021948,0.5109891527897372,0.7075728320463861,0.5017313127979557
2,gnnexplainer,0.6971788190385191,0.4812890758506204,0.6457615671098342,0.4846062615326465
3,gradcam,0.8354848209410686,0.5184584909569435,0.7349316511805455,0.5170276390058137
4,ig,0.8049701258055215,0.5708274901693331,0.7197903916146422,0.5582796854290257
5,occlusion,0.8385729779479427,0.7904699059565369,0.7393630822719456,0.754079415302664
6,pagerank,0.8258347077654808,0.5756130148515571,0.726867174158892,0.5599774669547485
7,pgmexplainer,0.7716422388254855,0.7067450881428634,0.6925903908455552,0.6923329150017326
8,random,-0.06046023017284498,0.2407327468901848,0.2094664486635085,0.23657861693986562
9,sa,0.4539881647683258,0.4293979808903393,0.5288691197448149,0.4369454168463302
10,subgraphx,0.3853837267652032,,0.47042309567224483,0.4697388370777827
