,explainer_name,charact_phen_hard,charact_phen_soft,charact_gnn_hard,charact_gnn_soft
0,distance,0.8258347080722056,0.5485277410674736,0.7268671746191879,0.5299961337677799
1,gnnexplainer,0.8258347081497107,0.5322603591469346,0.7268671760358583,0.5295662835673257
2,ig,0.8201131224464582,0.595542565346058,,
3,occlusion,0.8258347081497107,0.7868588229498383,0.7268671739675762,0.7460103719984379
4,pagerank,0.8258347077553267,0.5781720770951287,0.7268671760358583,0.5618670118329986
5,pgmexplainer,0.8258475276802347,0.7253708025515054,0.7279647497804527,0.6931834349466918
6,random,-0.04276817065432845,0.2244942156459178,0.2657019574533809,0.22201999187790133
7,sa,0.18134538868095104,0.2150063697870609,,
8,subgraphx,,,0.47042309567224483,0.4697388370777827
