dataset,true_label_as_target,hard_mask,sparsity,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
citeseer,False,False,0.99,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.29700000000000004,0.044,0.49230743646621705,0.28314350843429564,0.9966521799564362,41.617000000000004,0.00479,12431.0,0.846547099991956,1907.5729999999999
citeseer,False,False,0.99,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.462,0.054000000000000006,0.5434679865837098,0.21343371123075486,0.9934970498085022,80.839,0.32273999999999997,12431.0,0.47835186227978443,6484.608
citeseer,False,False,0.99,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.8130000000000001,0.004,0.6538992822170258,0.07277518548071385,0.9968625664710998,39.001999999999995,0.9393499999999999,12431.0,0.9943474378569708,70.267
citeseer,False,False,0.99,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.51,0.052000000000000005,0.5611152946949005,0.20016829520463944,0.9900250434875488,124.0,0.86388,12431.0,0.00010401415815297043,12429.707
citeseer,False,False,0.99,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.712,0.013000000000000001,0.622575443983078,0.058234765008091924,0.9954667925834656,56.352999999999994,22.06045,12431.0,0.9880541388464327,148.499
citeseer,False,False,0.99,random,100.0,-1.0,-1.0,-1.0,-1.0,0.133,0.8140000000000001,0.2213948518037796,0.6593099415302277,0.9900250434875488,124.0,0.0002,12431.0,8.044405116236497e-05,12430.0
citeseer,False,False,0.99,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.488,0.227,0.479292619228363,0.2212958589196205,0.9940205156803131,74.33200000000001,0.03901,12431.0,0.6548152200144801,4290.992
citeseer,False,False,0.997,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.23200000000000004,0.44399999999999995,0.2785837933421135,0.4963854610919952,0.9982351005077362,21.94,3.84861,12431.0,0.9943474378569708,70.267
citeseer,False,False,0.997,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.258,0.11600000000000002,0.4756161063909531,0.2998109221458435,0.9977254092693328,28.276,0.812,12431.0,0.5063149384603012,6136.999
citeseer,False,False,0.997,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.678,0.15,0.5947130680084228,0.4392720967531204,0.9982351005077362,21.94,3.83665,12431.0,0.9943474378569708,70.267
