dataset,true_label_as_target,hard_mask,topk,explainer_name,num_test_x,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,num_test_init,mask_size_init,mask_entropy_init,max_avg_init,num_test_transf,mask_size_transf,mask_entropy_transf,max_avg_transf,cc_ratio,num_test_y,time,number_of_edges
actor,False,False,5.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.02,0.41200000000000003,0.005975266639143229,0.1015776127576828,100.0,716.5959999999999,4.781325241286612,0.04003723587106579,100.0,5.0,1.593723015905066,0.7473904613075153,0.9513,100.0,0.65502,60918.0
actor,False,False,5.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.156,0.27799999999999997,0.039468429237604144,0.07814487665891648,100.0,6354.61,7.690641603094939,0.22860147181225732,100.0,4.996,1.6043730688191595,0.9252613060568056,0.8075999999999999,100.0,55.812979999999996,60918.0
actor,False,False,5.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.24699999999999997,0.356,0.047819097992032766,0.1188952498137951,100.0,60856.35800000002,10.824127030536014,0.5060825271054753,100.0,5.0,1.6094379120623235,0.9999366160653494,0.5352996031746032,100.0,0.0006,60918.0
actor,False,False,5.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.42000000000000004,0.18000000000000002,0.11781560853123665,0.08531214892864228,100.0,27882.98,8.969567860269887,0.47558345241261807,100.0,5.0,1.60728568760862,0.9615977739762783,0.3463333333333334,100.0,0.03968,60918.0
actor,False,False,5.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.05,0.15,0.022655069129541516,0.08494571037590504,100.0,2.5,0.5075173815233827,1.0,100.0,2.0,0.43820266346738823,1.0,0.8666666666666667,100.0,3453.2971000000002,60918.0
actor,False,False,10.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.036,0.352,0.009110846024006492,0.11194899529218674,100.0,1841.256,5.728820744278332,0.725068272837227,100.0,9.958,2.1675903734404893,0.9051714621923761,0.432441264815336,100.0,5.6623,60918.0
actor,False,False,10.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.198,0.288,0.04579275734722614,0.0814856693148613,100.0,60913.63999999999,10.959247404099623,0.11622739333345829,100.0,10.0,2.2444790246775557,0.6729848069985568,0.1080111111111111,100.0,0.79156,60918.0
actor,False,False,10.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.48200000000000004,0.308,0.08178307712078095,0.08343150168657303,100.0,1672.486,5.04743683104715,0.05901084398647379,100.0,9.958,1.60415078429571,0.31560432590567067,0.172960212010212,100.0,4.56018,60918.0
actor,False,False,10.0,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.40800000000000003,0.252,0.07330404445528985,0.056174082309007646,100.0,33070.77,7.954254141961384,0.151472081932289,100.0,9.904,2.141780806697637,0.43882367273749845,0.1909287878787879,100.0,0.00598,60918.0
actor,False,False,10.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.4,0.36,0.1105057418346405,0.11379942893981934,100.0,51363.979999999996,10.405149210746501,0.24284995150386274,100.0,10.0,2.249786498842934,0.5988612879072532,0.2767301587301587,100.0,0.35788000000000003,60918.0
