,explainer_name,charact_prob_phen_hard,charact_prob_phen_soft,charact_prob_gnn_hard,charact_prob_gnn_soft
5,pgexplainer,0.0029167610210868275,0.010627059306684668,0.01029311641081614,0.009707497910642935
7,random,0.23337837845730497,0.23671017183475013,0.27829372042297607,0.2782940625413771
1,distance,0.3916153743871384,0.24036049533745674,0.41767311334903406,0.279192614132807
0,basic_gnnexplainer,0.27718725416892925,0.2628932256541649,0.30266012630723116,0.2724778004665075
2,ig,0.29505771540553005,0.3052878930150335,0.3366445977234257,0.34199838890788375
8,sa,0.30716878116679236,0.3107609741627683,0.3343033580355745,0.33509839093063554
3,occlusion,0.3594839453223278,0.3767055342854567,0.3583239295404749,0.36513064202287104
6,pgmexplainer,0.40978982518233575,0.40084550887225195,0.4441218010766074,0.4349711219374909
9,subgraphx,0.41364541775515073,0.41229880703510446,0.43695504685610337,0.4377156491021756
4,pagerank,0.48990659429880373,0.47832027983169034,0.5236971753317402,0.5209040995912277
