,explainer_name,charact_prob_phen_hard,charact_prob_phen_soft,charact_prob_gnn_hard,charact_prob_gnn_soft
5,pgexplainer,0.00034095383283397156,0.00046268307722780073,8.740814390642817e-05,0.0035810527445926436
0,basic_gnnexplainer,0.046994507500865555,0.05972870622799986,0.0774610391229176,0.09081495737076414
1,distance,0.06035004651494123,0.060350108368184295,0.12430464372315427,0.12430462281064117
4,pagerank,0.15900561362213264,0.15900564555687266,0.21112121560974204,0.21112122890962787
9,subgraphx,0.16863955943529113,0.17053322830654585,0.20917106490144377,0.21120269589154855
6,pgmexplainer,0.17607262002377627,0.17607262554606082,0.20791311194953996,0.20791312422100763
7,random,0.23349477093062804,0.2367456707530747,0.2783449068623295,0.2783449143772936
2,ig,0.29421933164898234,0.2949356639688049,0.3245177920352576,0.32451779564876077
8,sa,0.33029189215293864,0.3302918958886363,0.3439794994734513,0.3439794977306104
3,occlusion,0.3634844737542314,0.3634844707798285,0.33852344224166087,0.33852344265916234
