,explainer_name,charact_prob_phen_hard,charact_prob_phen_soft,charact_prob_gnn_hard,charact_prob_gnn_soft
7,pgexplainer,0.004722106213483577,0.0003703125830696772,0.07771349789792814,0.0013865194443849025
0,basic_gnnexplainer,0.06535874719403845,0.026256901723287474,0.18320730537812605,0.060130937825593346
11,subgraphx,-0.00770813061669406,0.028071436232395355,0.12597910131408185,0.0692966522539014
9,random,0.014111785487525175,0.05882246552202311,0.11702014196509251,0.10766981278077802
1,distance,0.1043827821868986,0.07658911715690056,0.21259853322369587,0.1253008157366549
6,pagerank,0.17142313499894368,0.12295295623919858,0.27133851945216125,0.19041404213363974
8,pgmexplainer,0.12088802998250234,0.12597543597746308,0.23626500702965292,0.17690787308621542
3,gradcam,0.19070697503819173,0.13005317853748416,0.2776921606004097,0.180886955618909
2,gnnexplainer,0.11614354095460148,0.14024595295854012,0.21192394718526616,0.20400165088065605
4,ig,0.19053536652499123,0.15348314357410162,0.28178851557933615,0.2532200892041454
5,occlusion,0.20538621389588557,0.15802621266117528,0.2976478430799189,0.22822411005868037
10,sa,0.23348884978858814,0.22705786129528768,0.3145150803563732,0.3074039480471582
