,explainer_name,charact_phen_hard,charact_phen_soft,charact_gnn_hard,charact_gnn_soft
8,random,-0.05888617281574332,0.23162358139898,0.21552135011856194,0.24826190459648984
0,basic_gnnexplainer,0.5550659160751561,0.3424429028823916,0.5493638431572523,0.3538721093623664
9,sa,0.4798089679610008,0.4472728225943806,0.5213877847114228,0.4284094675618005
2,gnnexplainer,0.6935104293437231,0.45468965648959864,0.6384910549477698,0.4571067249152774
1,distance,0.7109676379056904,0.46381624601009386,0.6646082057074344,0.45815408673635494
3,gradcam,0.8296020885633877,0.5146321956785626,0.7377399857020001,0.5073412950156817
4,ig,0.7679162871878463,0.5594815051713815,0.7006293106511989,0.5428877143957209
6,pagerank,0.8208252568241379,0.5642788525837332,0.7319693313287352,0.5510198261202572
7,pgmexplainer,0.687818405938327,0.655678293923508,0.6415115379798674,0.6414527056929606
5,occlusion,0.8526152516273232,0.7847736258470766,0.7550084844684387,0.7594026221959411
