,explainer_name,charact_prob_phen_hard,charact_prob_phen_soft,charact_prob_gnn_hard,charact_prob_gnn_soft
7,pgexplainer,0.0035241558332441626,-0.00015215858451471,0.0743626818562113,0.00044439873368716043
0,basic_gnnexplainer,0.0072131291359967525,0.0029842526240426957,0.1155628868178497,0.008089372343529083
1,distance,0.0095548964453144,0.014281378903956195,0.11770531928603498,0.026568047967018383
11,subgraphx,-0.01513429183473463,0.02145279446274923,0.11443388544096966,0.05414868717354037
8,pgmexplainer,0.009529378500922437,0.02367451123465389,0.1182915531445273,0.04850380985124158
6,pagerank,0.009130268464913367,0.024656898229792657,0.11761935334682846,0.05002199985854775
3,gradcam,0.010262126481943393,0.03083844727805344,0.11786880885550759,0.04849395074982139
9,random,0.014387214223078485,0.05594828751946041,0.1178504140343825,0.10145132476272362
5,occlusion,0.043637448303705396,0.06995225462128209,0.1302500740763696,0.10065243641423956
2,gnnexplainer,0.08937813647430741,0.11454443255958147,0.18152266879479076,0.1666668250663234
4,ig,0.14948855274153533,0.14555215522392692,0.24903229486275497,0.2439932651367723
10,sa,0.2060303735865046,0.22020173397987,0.28839951505457206,0.30054602594165586
