,explainer_name,charact_prob_phen_hard,charact_prob_phen_soft,charact_prob_gnn_hard,charact_prob_gnn_soft
7,pgexplainer,0.005734314090664168,0.00042550839894963196,0.07916441287500597,0.0015644467469734084
11,subgraphx,-0.00770813061669406,0.028071436232395355,0.12597910131408185,0.0692966522539014
0,basic_gnnexplainer,0.088135810628678,0.04260938328174788,0.2039386621008973,0.07992628229317952
9,random,0.012661672514897157,0.06084131383896528,0.11769236464919745,0.11595858338972095
1,distance,0.140637039647249,0.08771575177148913,0.243865257939182,0.13950796102522736
6,pagerank,0.17755547952568715,0.1250855584027688,0.2726741088555033,0.19423586919535818
3,gradcam,0.1950479639252843,0.13155136912090776,0.2773532366749813,0.183031408766536
8,pgmexplainer,0.1443007435374295,0.13863392232277957,0.25513944381809206,0.19211342371793458
2,gnnexplainer,0.1375935272172865,0.14047111948947494,0.23091516146630733,0.20477761192266883
4,ig,0.1960121296274579,0.1551717321012305,0.28568154733657003,0.253915972989083
5,occlusion,0.20716052161783777,0.15932088005011974,0.29985437543551985,0.23307047190931898
10,sa,0.2372897327445454,0.22721990008591647,0.31932252636761393,0.30819893529880404
