,explainer_name,charact_prob_phen_hard,charact_prob_phen_soft,charact_prob_gnn_hard,charact_prob_gnn_soft
7,pgexplainer,0.003713684938872889,0.00013330491966347512,0.07495020044850588,0.0008230298117149192
0,basic_gnnexplainer,0.02672427586141401,0.018682062232689006,0.14009956667911203,0.04399925545393439
11,subgraphx,-0.00770813061669406,0.028071436232395355,0.12597910131408185,0.0692966522539014
1,distance,0.0514125066792571,0.05519231942216089,0.1675493486241062,0.09518131000536538
9,random,0.014208594073537634,0.05621816006493183,0.1172779279859472,0.10207601601975903
8,pgmexplainer,0.07182746323186887,0.08196241116450505,0.18442614888182085,0.13190137938148924
6,pagerank,0.14013932069414964,0.10816156477837897,0.2481202206176046,0.16881211117199882
3,gradcam,0.1603278602678646,0.11698962208392809,0.26035878858404693,0.16503565525546823
2,gnnexplainer,0.10474022147771314,0.1327735029325388,0.1951231758049543,0.19295585385442493
5,occlusion,0.19047407882268488,0.14765637820456906,0.28279374194984097,0.20580831545465297
4,ig,0.178218358454219,0.1523414958550357,0.27438165929733593,0.2521120482421186
10,sa,0.2214026672172659,0.22373784470250185,0.3098834300733884,0.3105730590646492
