,explainer_name,charact_phen_hard,charact_phen_soft,charact_gnn_hard,charact_gnn_soft
8,random,0.07340150592030827,0.35568519439765006,0.28958438958900035,0.3680423729072652
2,gnnexplainer,0.8307415985517798,0.45723197802603854,0.7291054817034777,0.4580890764261195
9,sa,0.4926237569131441,0.45940533489317814,0.5282931302542131,0.43906818770876266
3,gradcam,0.8323456277863016,0.5185855055967871,0.7375413307549421,0.5106037193048151
0,basic_gnnexplainer,0.8212753774243555,0.521354584490716,0.731372429908876,0.5167233007183916
1,distance,0.8215494193768554,0.5443309308657758,0.7313724303308939,0.530186723271952
6,pagerank,0.8215494193768554,0.5712393014967703,0.7313724303308939,0.5567215623794223
4,ig,0.831912140527827,0.5912154634756143,0.7457510798464866,0.5721133012286979
7,pgmexplainer,0.8216508290943171,0.7388568634434435,0.7314881055490909,0.7167784364522723
5,occlusion,0.8216288659342431,0.7837750571565973,0.731372429908876,0.7583921928442562
