,explainer_name,charact_prob_phen_hard,charact_prob_phen_soft,charact_prob_gnn_hard,charact_prob_gnn_soft
7,pgexplainer,0.003686684189843416,-7.020679020282277e-05,0.07459579309282452,0.000612768332695075
0,basic_gnnexplainer,0.017448952892078862,0.011601656540227712,0.12709730944954814,0.02908535401373961
11,subgraphx,-0.009432803634070834,0.027224628324563377,0.12426359190453468,0.06804751532107892
1,distance,0.030480153509828002,0.04604746778142121,0.14576510408135115,0.0795166355229994
9,random,0.014643860578080165,0.05613353756044939,0.1179302000754899,0.10180303026328869
8,pgmexplainer,0.05377616528874629,0.0645293716314901,0.16525906172206675,0.10849533083231877
6,pagerank,0.09841896243632926,0.08830869412669339,0.2053699270842376,0.14053765881294655
3,gradcam,0.11794860281867903,0.09972842906039256,0.21823040641300576,0.14161400694345466
2,gnnexplainer,0.10134358492179829,0.12467841779644431,0.18718428244019963,0.18054784418361916
5,occlusion,0.16758168753919847,0.13578228294495548,0.259332967953824,0.18843586713691585
4,ig,0.16493474631443278,0.15024786113798566,0.26039863562695637,0.2483704443889906
10,sa,0.21237620402479793,0.21903275671076505,0.298805533699402,0.30594864130591437
