,balanced_acc,dataset,datatype,explainer,f1_score,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,focus,mask_entropy,mask_nature,mask_size,mask_sparsity,max_avg,model,num_explained_y_fid,num_explained_y_with_acc,precision,pred_type,recall,roc_auc_score,time,top_balanced_acc,top_f1_score,top_precision,top_recall,top_roc_auc_score,topk,seed,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,device
0,0.5019048582995953,ba_2motifs,binary,random,0.3545865932848007,0.51,0.15,0.48416268825531,0.1672127097845077,phenomenon,3.713903853047137,hard,49.49,0.028242401576015,0.3722928542992658,gin,100,100,0.2169681598171183,mix,0.9747307692307692,0.4890170170837933,0.0,0.4903965311004784,0.2111716586151369,0.2024150849150849,0.2207272727272727,0.4911047601521285,,2,,,,,
1,0.5018994601889338,ba_2motifs,binary,random,0.0713809523809523,0.19,0.51,0.2170227468013763,0.4840647876262665,phenomenon,0.693056701074597,hard,2.0,0.9607155169760204,0.981396869112135,gin,100,100,0.235,mix,0.0421410256410256,0.5018747553981108,0.0,0.5018994601889338,0.0713809523809523,0.235,0.0421410256410256,0.5018747553981108,1.0,2,,,,,
2,0.501135550852656,ba_2motifs,binary,random,0.0952490842490842,0.22,0.51,0.2246030569076538,0.4837667346000671,phenomenon,1.09839188068891,hard,3.0,0.9410732754640314,0.9604500142258716,gin,100,100,0.2233333333333333,mix,0.0606526806526806,0.5011741274076801,0.0,0.501135550852656,0.0952490842490842,0.2233333333333333,0.0606526806526806,0.5011741274076801,2.0,2,,,,,
3,0.5012304471843947,ba_2motifs,binary,random,0.1179082633053221,0.24,0.51,0.243123397231102,0.4844594895839691,phenomenon,1.3859302725027798,hard,4.0,0.921431033952042,0.943808783449267,gin,100,100,0.2225,mix,0.0803951048951049,0.5012876694577352,0.0,0.5012304471843947,0.1179082633053221,0.2225,0.0803951048951049,0.5012876694577352,3.0,2,,,,,
4,0.4995725524475524,ba_2motifs,binary,random,0.1340032679738562,0.24,0.51,0.2514329254627228,0.4874310791492462,phenomenon,1.6088947758044825,hard,5.0,0.9017887924400542,0.9250848886512938,gin,100,100,0.216,mix,0.0973951048951049,0.4997879339958287,0.0,0.4995725524475524,0.1340032679738562,0.216,0.0973951048951049,0.4997879339958287,4.0,2,,,,,
5,0.4967225187093607,ba_2motifs,binary,random,0.1458105435156518,0.25,0.5,0.2635494470596313,0.4838584959506988,phenomenon,1.7910210062154652,hard,6.0,0.8821465509280635,0.9112019654387556,gin,100,100,0.2083333333333333,mix,0.1124976689976689,0.49721211891179,0.0,0.4967225187093607,0.1458105435156518,0.2083333333333333,0.1124976689976689,0.49721211891179,5.0,2,,,,,
6,0.492388679303153,ba_2motifs,binary,random,0.1533708290333677,0.29,0.52,0.2879347801208496,0.4926669597625732,phenomenon,1.9449011048820104,hard,7.0,0.8625043094160734,0.895524059038747,gin,100,100,0.1985714285714285,mix,0.1253694638694638,0.4933167694147956,0.0,0.492388679303153,0.1533708290333677,0.1985714285714285,0.1253694638694638,0.4933167694147956,6.0,2,,,,,
7,0.4921919089682247,ba_2motifs,binary,random,0.1676023391812865,0.32,0.53,0.3005281686782837,0.4978168606758117,phenomenon,2.078063834907772,hard,8.0,0.8428620679040852,0.8843324720131847,gin,100,100,0.2,mix,0.1447785547785547,0.4929893740031899,0.0,0.4921919089682247,0.1676023391812865,0.2,0.1447785547785547,0.4929893740031899,7.0,2,,,,,
8,0.4924090142313828,ba_2motifs,binary,random,0.1811932102984734,0.36,0.54,0.3266511559486389,0.5044363141059875,phenomenon,2.195369936020826,hard,9.0,0.8232198263920953,0.8658076935922184,gin,100,100,0.2022222222222222,mix,0.1647785547785547,0.4930215479695743,0.0,0.4924090142313828,0.1811932102984734,0.2022222222222222,0.1647785547785547,0.4930215479695743,8.0,2,,,,,
9,0.4913506471598577,ba_2motifs,binary,random,0.1914500282326369,0.37,0.55,0.3358605206012726,0.5126349925994873,phenomenon,2.300262074012972,hard,10.0,0.8035775848801048,0.8603228764984628,gin,100,100,0.202,mix,0.1827144522144522,0.492005906483867,0.0,0.4913506471598577,0.1914500282326369,0.202,0.1827144522144522,0.492005906483867,9.0,2,,,,,
10,0.4926256134216659,ba_2motifs,binary,random,0.2044301712779973,0.36,0.59,0.3510848581790924,0.5231560468673706,phenomenon,2.395026329278517,hard,11.0,0.783935343368117,0.8505544719449186,gin,100,100,0.2054545454545454,mix,0.2043170163170163,0.4928652649981597,0.0,0.4926256134216659,0.2044301712779973,0.2054545454545454,0.2043170163170163,0.4928652649981597,10.0,2,,,,,
11,0.4935666789350998,ba_2motifs,binary,random,0.247481579722959,0.46,0.6,0.4659239649772644,0.5417624115943909,phenomenon,2.765438357413046,hard,16.0,0.68572413580817,0.8013668515485972,gin,100,100,0.209375,mix,0.3041596736596736,0.4927004485645934,0.0,0.4903965311004784,0.2111716586151369,0.2024150849150849,0.2207272727272727,0.4911047601521285,15.0,2,,,,,
12,0.4903674549135074,ba_2motifs,binary,random,0.2729892616870795,0.43,0.57,0.4464033842086792,0.5399328470230103,phenomenon,3.0310408389343757,hard,21.0,0.587512928248222,0.7117024012082659,gin,100,100,0.2085714285714285,mix,0.3973006993006993,0.4894360293215557,0.0,0.4903965311004784,0.2111716586151369,0.2024150849150849,0.2207272727272727,0.4911047601521285,20.0,2,,,,,
