,balanced_acc,dataset,datatype,device,explainer,f1_score,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,focus,mask_entropy,mask_nature,mask_size,mask_sparsity,max_avg,model,num_explained_y_fid,num_explained_y_with_acc,precision,pred_type,recall,roc_auc_score,seed,time,top_balanced_acc,top_f1_score,top_precision,top_recall,top_roc_auc_score,topk
0,0.5038530313640607,ieee24_mc,multiclass,cpu,random,0.0662893850225525,0.47,0.49,0.4448300898075104,0.4704001247882843,phenomenon,4.086171093531758,soft,71.85,0.0240474045474045,0.3158341270890303,transformer,100,100,0.0345891486894305,mix,0.9833333333333334,0.5102727352304558,2,0.0,0.4998104508848993,0.0394529914529914,0.0339047619047619,0.0475,0.4998955388973771,
1,0.5022576168725067,ieee24_mc,multiclass,cpu,random,0.0325,0.3,0.78,0.268733412027359,0.7382699847221375,phenomenon,0.6930978889746119,soft,2.0,0.9728299013299012,0.9853806103145658,transformer,100,100,0.035,mix,0.0316666666666666,0.5023130484201257,2,0.0,0.5022576168725067,0.0325,0.035,0.0316666666666666,0.5023130484201257,1.0
2,0.4991122437611408,ieee24_mc,multiclass,cpu,random,0.033079365079365,0.29,0.75,0.2554510533809662,0.7303033471107483,phenomenon,1.098497722787434,soft,3.0,0.95924485199485,0.9708767656268816,transformer,100,100,0.03,mix,0.0391666666666666,0.4992848628087597,2,0.0,0.4991122437611408,0.033079365079365,0.03,0.0391666666666666,0.4992848628087597,2.0
3,0.499028612012987,ieee24_mc,multiclass,cpu,random,0.0385,0.25,0.76,0.2426459640264511,0.7299418449401855,phenomenon,1.3861075713452744,soft,4.0,0.9456598026598032,0.9593916396280858,transformer,100,100,0.0325,mix,0.0525,0.4991942939107461,2,0.0,0.499748850108225,0.0365,0.0333333333333333,0.0425,0.4998788177202698,3.0
4,0.4954752527905101,ieee24_mc,multiclass,cpu,random,0.038066378066378,0.24,0.75,0.2362701743841171,0.7206063866615295,phenomenon,1.6091608615641684,soft,5.0,0.9320747533247548,0.9458857936857252,transformer,100,100,0.03,mix,0.0591666666666666,0.4958148740556829,2,0.0,0.4994831892984466,0.0374949494949495,0.0333333333333333,0.0441666666666666,0.49961646135727,4.0
5,0.4910084511077158,ieee24_mc,multiclass,cpu,random,0.0361666666666666,0.23,0.74,0.234347403049469,0.7005464434623718,phenomenon,1.7913584459801677,soft,6.0,0.9184897039897044,0.9344852562272308,transformer,100,100,0.0266666666666666,mix,0.0641666666666666,0.4915920762244293,2,0.0,0.4987388432645785,0.0368888888888888,0.032,0.0441666666666666,0.4989226667939902,5.0
6,0.5063476824441898,ieee24_mc,multiclass,cpu,random,0.0532711732711732,0.21,0.69,0.2267571687698364,0.6740256547927856,phenomenon,1.945363792276064,soft,7.0,0.9049046546546536,0.9216248001635732,transformer,100,100,0.0371428571428571,mix,0.1075,0.5055557863296833,2,0.0,0.4998104508848993,0.0394529914529914,0.0339047619047619,0.0475,0.4998955388973771,6.0
7,0.5027897276334776,ieee24_mc,multiclass,cpu,random,0.0516666666666666,0.25,0.68,0.2372132688760757,0.6571028232574463,phenomenon,2.0787190340831883,soft,8.0,0.8913196053196049,0.9116344288757864,transformer,100,100,0.035,mix,0.1141666666666666,0.5024190274594686,2,0.0,0.4998104508848993,0.0394529914529914,0.0339047619047619,0.0475,0.4998955388973771,7.0
8,0.5008923703951278,ieee24_mc,multiclass,cpu,random,0.0508717948717948,0.24,0.66,0.2404071688652038,0.6420895457267761,phenomenon,2.196280987515683,soft,9.0,0.8777345559845547,0.9068320164720284,transformer,100,100,0.0333333333333333,mix,0.1241666666666666,0.5007710641074612,2,0.0,0.4998104508848993,0.0394529914529914,0.0339047619047619,0.0475,0.4998955388973771,8.0
9,0.4964255687123335,ieee24_mc,multiclass,cpu,random,0.0485119047619047,0.26,0.67,0.2407524287700653,0.6320888996124268,phenomenon,2.301421818717375,soft,10.0,0.8641495066495075,0.8977336882977036,transformer,100,100,0.031,mix,0.1291666666666666,0.4968661563110093,2,0.0,0.4998104508848993,0.0394529914529914,0.0339047619047619,0.0475,0.4998955388973771,9.0
10,0.4980065027905103,ieee24_mc,multiclass,cpu,random,0.0507450980392156,0.25,0.62,0.2394269555807113,0.6153854131698608,phenomenon,2.396482397146632,soft,11.0,0.850564457314459,0.8894800747567451,transformer,100,100,0.0318181818181818,mix,0.1458333333333333,0.4981820701765555,2,0.0,0.4998104508848993,0.0394529914529914,0.0339047619047619,0.0475,0.4998955388973771,10.0
11,0.4966791841736694,ieee24_mc,multiclass,cpu,random,0.0521825396825396,0.22,0.63,0.2392003685235977,0.6147939562797546,phenomenon,2.483232292675142,soft,12.0,0.8369794079794084,0.8859757532406459,transformer,100,100,0.0325,mix,0.1566666666666666,0.497023438163144,2,0.0,0.4998104508848993,0.0394529914529914,0.0339047619047619,0.0475,0.4998955388973771,11.0
12,0.4982627297130973,ieee24_mc,multiclass,cpu,random,0.0539318885448916,0.24,0.65,0.2402073442935943,0.6244014501571655,phenomenon,2.5629840451693964,soft,13.0,0.8233943586443574,0.8787587604703913,transformer,100,100,0.033076923076923,mix,0.1733333333333333,0.4983052491830065,2,0.0,0.4998104508848993,0.0394529914529914,0.0339047619047619,0.0475,0.4998955388973771,12.0
13,0.4960242193468296,ieee24_mc,multiclass,cpu,random,0.0540833333333333,0.21,0.65,0.2221607565879821,0.6268696784973145,phenomenon,2.636762736590862,soft,14.0,0.8098093093093097,0.8706499071407798,transformer,100,100,0.0328571428571428,mix,0.1825,0.4964455963256515,2,0.0,0.4998104508848993,0.0394529914529914,0.0339047619047619,0.0475,0.4998955388973771,13.0
14,0.5053890002970887,ieee24_mc,multiclass,cpu,random,0.0599970514521598,0.24,0.62,0.2323749214410781,0.5882273316383362,phenomenon,2.7053663524570744,soft,15.0,0.796224259974259,0.8649831535436583,transformer,100,100,0.036,mix,0.2141666666666666,0.5039735485103134,2,0.0,0.4998104508848993,0.0394529914529914,0.0339047619047619,0.0475,0.4998955388973771,14.0
