,balanced_acc,dataset,datatype,device,explainer,f1_score,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,focus,mask_entropy,mask_nature,mask_size,mask_sparsity,max_avg,model,num_explained_y_fid,num_explained_y_with_acc,precision,pred_type,recall,roc_auc_score,seed,time,top_balanced_acc,top_f1_score,top_precision,top_recall,top_roc_auc_score,topk
0,0.5019628774029161,uk_mc,multiclass,cpu,random,0.0673109010141112,0.84,0.04,0.8226207494735718,0.006285248324275,phenomenon,5.075114728730599,hard,192.29,0.014094880864717,0.4151958860769986,transformer,100,100,0.0349312286967177,mix,0.98975,0.5093278701249314,1,0.0001,0.5037420490234418,0.0439201321554262,0.041047619047619,0.04725,0.5038219350565434,
1,0.5012323333736447,uk_mc,multiclass,cpu,random,0.0191666666666666,0.02,0.91,-0.0109976362437009,0.8773269057273865,phenomenon,0.6931420345891517,hard,2.0,0.9897453143628584,0.9953977015163262,transformer,100,100,0.04,mix,0.0126666666666666,0.5012163463258377,1,0.0001,0.5012323333736447,0.0191666666666666,0.04,0.0126666666666666,0.5012163463258377,1.0
2,0.5030687901903905,uk_mc,multiclass,cpu,random,0.029059829059829,0.02,0.86,-0.0105287656188011,0.807942807674408,phenomenon,1.098598229638556,hard,3.0,0.9846179715442888,0.9900732691391014,transformer,100,100,0.0466666666666666,mix,0.0213333333333333,0.5030403049989173,1,0.0001,0.5030687901903905,0.029059829059829,0.0466666666666666,0.0213333333333333,0.5030403049989173,2.0
3,0.5037961638152856,uk_mc,multiclass,cpu,random,0.0345,0.02,0.8,-0.0102119799703359,0.7363435626029968,phenomenon,1.3862684651363473,hard,4.0,0.9794906287257166,0.9847219101356454,transformer,100,100,0.0475,mix,0.0278333333333333,0.5037722291502083,1,0.0001,0.5037961638152856,0.0345,0.0475,0.0278333333333333,0.5037722291502083,3.0
4,0.5029706321228902,uk_mc,multiclass,cpu,random,0.0359658119658119,0.01,0.69,-0.0122369434684515,0.6317493915557861,phenomenon,1.609397748440104,hard,5.0,0.9743632859071476,0.979586238970609,transformer,100,100,0.044,mix,0.0313333333333333,0.5029827940214621,1,0.0001,0.5029706321228902,0.0359658119658119,0.044,0.0313333333333333,0.5029827940214621,4.0
5,0.5032130891034995,uk_mc,multiclass,cpu,random,0.0392023809523809,0.01,0.64,-0.0108890095725655,0.5878499746322632,phenomenon,1.7917045828140383,hard,6.0,0.9692359430885767,0.975503930084618,transformer,100,100,0.0433333333333333,mix,0.0369166666666666,0.5032339095995537,1,0.0001,0.5035031226981244,0.0394246031746031,0.0436666666666666,0.0369166666666666,0.5035173642468102,5.0
6,0.5059097611703305,uk_mc,multiclass,cpu,random,0.0464516659810777,0.01,0.61,-0.0108497198671102,0.5545217990875244,phenomenon,1.9458368428238064,hard,7.0,0.9641086002700048,0.9712528280934422,transformer,100,100,0.0471428571428571,mix,0.04725,0.5058639843875564,1,0.0001,0.5064898283595802,0.0468557063851181,0.0477142857142857,0.04725,0.5064308936820692,6.0
7,0.5058325194476598,uk_mc,multiclass,cpu,random,0.0476388888888889,0.01,0.54,-0.0110340341925621,0.4955283403396606,phenomenon,2.0793484658705057,hard,8.0,0.9589812574514336,0.968162485972351,transformer,100,100,0.045,mix,0.05225,0.5058200410670775,1,0.0001,0.5057085053114269,0.0458867521367521,0.0452142857142857,0.04725,0.5056893526582263,7.0
8,0.5053120153136414,uk_mc,multiclass,cpu,random,0.0475186155433833,0.01,0.51,-0.0133767100051045,0.4663674533367157,phenomenon,2.19711086486192,hard,9.0,0.953853914632863,0.9648787277183468,transformer,100,100,0.0422222222222222,mix,0.0564166666666666,0.5053507524685095,1,0.0001,0.5049271822632735,0.0450228890476568,0.0432698412698412,0.04725,0.5049478116343834,8.0
9,0.5035154753453566,uk_mc,multiclass,cpu,random,0.0459404761904761,0.01,0.45,-0.0127411345019936,0.4171226620674133,phenomenon,2.302445680577273,hard,10.0,0.9487265718142912,0.9615293443750336,transformer,100,100,0.039,mix,0.0580833333333333,0.5036642186291802,1,0.0001,0.5043346156433577,0.0444439416792358,0.042047619047619,0.04725,0.5043848733454633,9.0
10,0.5040903952983232,uk_mc,multiclass,cpu,random,0.0479416187527642,0.01,0.38,-0.0148944351822137,0.345381885766983,phenomenon,2.397728431531157,hard,11.0,0.9435992289957208,0.9583702625411678,transformer,100,100,0.039090909090909,mix,0.0643333333333333,0.504227356670307,1,0.0001,0.5037420490234418,0.0439201321554262,0.041047619047619,0.04725,0.5038219350565434,10.0
11,0.5055940786921498,uk_mc,multiclass,cpu,random,0.0514494949494949,0.01,0.36,-0.0143439602106809,0.3304150402545929,phenomenon,2.484708578789541,hard,12.0,0.9384718861771502,0.954435494013134,transformer,100,100,0.0408333333333333,mix,0.0723333333333333,0.5056675108404659,1,0.0001,0.5037420490234418,0.0439201321554262,0.041047619047619,0.04725,0.5038219350565434,11.0
12,0.504851022209518,uk_mc,multiclass,cpu,random,0.0516544558326763,0.01,0.3,-0.014435090124607,0.2787454724311828,phenomenon,2.5647158538329227,hard,13.0,0.9333445433585814,0.9491870495621684,transformer,100,100,0.04,mix,0.076,0.504999566177406,1,0.0001,0.5037420490234418,0.0439201321554262,0.041047619047619,0.04725,0.5038219350565434,12.0
