,dataset,datatype,explainer,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,focus,mask_entropy,mask_nature,mask_size,mask_sparsity,max_avg,model,num_explained_y_fid,pred_type,time,topk,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,device,seed
1054,mutag,binary,subgraphx,0.01,0.1,-0.0038108814042061,-0.0694511607289314,phenomenon,2.807969967535283,soft,17.02,0.6099542935414686,1.0,gat,100,mix,14.0321,50.0,,,,,,
1055,mutag,binary,subgraphx,0.01,0.1,-0.0038108814042061,-0.0694511607289314,phenomenon,2.807969967535283,soft,17.02,0.6099542935414686,1.0,gat,100,mix,14.0321,100.0,,,,,,
1056,mutag,binary,subgraphx,0.1,0.1,-0.047495350241661,0.0935813337564468,phenomenon,2.8228045486310185,hard,17.16,0.6126909565881046,1.0,gat,100,mix,14.3011,,,,,,,
1057,mutag,binary,subgraphx,0.02,0.1,-0.0075652506202459,0.0935813337564468,phenomenon,0.6931471805599458,hard,2.0,0.9537571970832208,1.0,gat,100,mix,14.3011,1.0,,,,,,
1058,mutag,binary,subgraphx,0.03,0.1,-0.012967262417078,0.0935813337564468,phenomenon,1.0986122886681082,hard,3.0,0.930635795624832,1.0,gat,100,mix,14.3011,2.0,,,,,,
1059,mutag,binary,subgraphx,0.05,0.1,-0.0210952349007129,0.0935813337564468,phenomenon,1.3862943611198917,hard,4.0,0.907514394166442,1.0,gat,100,mix,14.3011,3.0,,,,,,
1060,mutag,binary,subgraphx,0.08,0.1,-0.0451812371611595,0.0935813337564468,phenomenon,1.6094379124340994,hard,5.0,0.8843929927080535,1.0,gat,100,mix,14.3011,4.0,,,,,,
1061,mutag,binary,subgraphx,0.09,0.1,-0.0476158894598484,0.0935813337564468,phenomenon,1.7917594692280547,hard,6.0,0.861271591249664,1.0,gat,100,mix,14.3011,5.0,,,,,,
1062,mutag,binary,subgraphx,0.09,0.1,-0.0467707067728042,0.0935813337564468,phenomenon,1.9443686422570423,hard,6.99,0.8383585231246086,1.0,gat,100,mix,14.3011,6.0,,,,,,
1063,mutag,binary,subgraphx,0.1,0.1,-0.0490431450307369,0.0935813337564468,phenomenon,2.076564720955321,hard,7.98,0.815445454999552,1.0,gat,100,mix,14.3011,7.0,,,,,,
1064,mutag,binary,subgraphx,0.1,0.1,-0.0483364164829254,0.0935813337564468,phenomenon,2.187280774472316,hard,8.92,0.7944875150796245,1.0,gat,100,mix,14.3011,8.0,,,,,,
1065,mutag,binary,subgraphx,0.1,0.1,-0.0477629899978637,0.0935813337564468,phenomenon,2.2863196591906725,hard,9.86,0.7735295751596964,1.0,gat,100,mix,14.3011,9.0,,,,,,
1066,mutag,binary,subgraphx,0.1,0.1,-0.0489228777587413,0.0935813337564468,phenomenon,2.374958126408694,hard,10.79,0.7529287780969122,1.0,gat,100,mix,14.3011,10.0,,,,,,
1067,mutag,binary,subgraphx,0.1,0.1,-0.0478532090783119,0.0935813337564468,phenomenon,2.7176693929401763,hard,15.36,0.6524156352738296,1.0,gat,100,mix,14.3011,15.0,,,,,,
1068,mutag,binary,subgraphx,0.1,0.1,-0.047495350241661,0.0935813337564468,phenomenon,2.8228045486310185,hard,17.16,0.6126909565881046,1.0,gat,100,mix,14.3011,20.0,,,,,,
1069,mutag,binary,subgraphx,0.1,0.1,-0.047495350241661,0.0935813337564468,phenomenon,2.8228045486310185,hard,17.16,0.6126909565881046,1.0,gat,100,mix,14.3011,25.0,,,,,,
1070,mutag,binary,subgraphx,0.1,0.1,-0.047495350241661,0.0935813337564468,phenomenon,2.8228045486310185,hard,17.16,0.6126909565881046,1.0,gat,100,mix,14.3011,50.0,,,,,,
1071,mutag,binary,subgraphx,0.1,0.1,-0.047495350241661,0.0935813337564468,phenomenon,2.8228045486310185,hard,17.16,0.6126909565881046,1.0,gat,100,mix,14.3011,100.0,,,,,,
1072,mutag,binary,subgraphx,0.11,0.11,-0.0565240830183029,0.0829981416463851,phenomenon,2.814925161182333,hard,17.06,0.6060390997241568,1.0,gat,100,mix,13.6786,,,,,,,
1073,mutag,binary,subgraphx,0.03,0.11,-0.0044575012288987,0.0829981416463851,phenomenon,0.6931471805599458,hard,2.0,0.9528506903323672,1.0,gat,100,mix,13.6786,1.0,,,,,,
1074,mutag,binary,subgraphx,0.04,0.11,-0.0101034808903932,0.0829981416463851,phenomenon,1.0986122886681082,hard,3.0,0.929276035498552,1.0,gat,100,mix,13.6786,2.0,,,,,,
1075,mutag,binary,subgraphx,0.06,0.11,-0.0276652127504348,0.0829981416463851,phenomenon,1.3862943611198917,hard,4.0,0.9057013806647356,1.0,gat,100,mix,13.6786,3.0,,,,,,
1076,mutag,binary,subgraphx,0.07,0.11,-0.0415257178246974,0.0829981416463851,phenomenon,1.6094379124340994,hard,5.0,0.8821267258309204,1.0,gat,100,mix,13.6786,4.0,,,,,,
