dataset,threshold,explainer_name,num_test_nodes,gpu,f1_score,recall,precision,auc,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
syn1,0.5,distance,100.0,1.0,0.5635757575757575,0.41333333333333344,0.9395,0.6033028306490972,0.05,0.53,-0.12311556190252304,0.4879054129123688,0.999335765838623,2.73,0.0162,4110.0,0.00917518248175182,4072.29
syn1,0.5,gnnexplainer,100.0,1.0,0.36532497452199275,0.6500000000000001,0.3557069702928115,0.7200797136814704,0.44,0.29,0.285291463136673,0.15117599070072174,0.9419440627098083,238.61,2.6174,4110.0,0.9376058394160586,256.44
syn1,0.5,ig_node,100.0,1.0,0.4462750582750582,0.4366666666666666,0.45952380952380945,0.47842443468358553,0.05,0.53,0.024773504585027695,0.4457051157951355,0.5202190279960632,1971.9,0.1674,4110.0,0.05082238442822385,3901.12
syn1,0.5,occlusion,100.0,1.0,0.0016300607693619975,0.24,0.0008179086649479981,0.06296709777127055,0.48,0.05,0.4333445429801941,0.009594299830496311,0.062043800950050354,3855.0,0.7179,4110.0,0.00024330900243307862,4109.0
syn1,0.5,pagerank,100.0,1.0,0.880128205128205,0.8616666666666665,0.9033809523809522,0.9307735480722304,0.53,0.05,0.4879054129123688,-0.018172837793827057,0.9972018599510193,11.5,0.0198,4110.0,0.00048661800486615725,4108.0
syn1,0.5,pgmexplainer,100.0,1.0,0.5010036816137862,0.855,0.43391231741507724,0.916793151130633,0.53,0.01,0.4879054129123688,-0.02340804412961006,0.968681275844574,128.72,3.6772,4110.0,0.8193965936739659,742.28
syn1,0.5,random,100.0,1.0,0.005979418214109358,0.77,0.0030013648175459423,0.5004463559459897,0.48,0.42,0.2883473336696625,0.23718751966953278,0.5014306902885437,2049.12,0.0001,4110.0,0.00024330900243307862,4109.0
syn1,0.5,sa_node,100.0,1.0,0.02845731678914345,0.11166666666666664,0.028800756383869048,0.041801285179762476,0.05,0.53,-0.06919316947460175,0.509470522403717,0.05267152935266495,3893.52,0.0027,4110.0,0.00048661800486615725,4108.0
syn1,0.5,subgraphx,100.0,1.0,0.8071601731601732,0.8083333333333332,0.8233571428571429,0.9039982918496827,0.45,0.19,0.4063794016838074,0.08354434370994568,0.9973040223121643,11.08,0.8782,4110.0,0.9473041362530416,11.08
syn1,0.8,distance,100.0,1.0,0.5635757575757575,0.41333333333333344,0.9395,0.6033028306490972,0.05,0.53,-0.12311556190252304,0.4879054129123688,0.999335765838623,2.73,0.0139,4110.0,0.00917518248175182,4072.29
syn1,0.8,gnnexplainer,100.0,1.0,0.3968998337013411,0.6833333333333335,0.3928140298998711,0.7279216487717588,0.44,0.31,0.3004694879055023,0.17321471869945526,0.9421435594558716,237.79,4.7447,4110.0,0.9376058394160586,256.44
syn1,0.8,ig_node,100.0,1.0,0.339047619047619,0.25333333333333335,0.52,0.387418252806247,0.07,0.53,0.026241106912493706,0.482979953289032,0.522160530090332,1963.92,0.1609,4110.0,0.05082238442822385,3901.12
syn1,0.8,occlusion,100.0,1.0,0.0074589500556008995,0.12333333333333332,0.010397541205869665,0.06218073857166097,0.28,0.25,0.3020877540111542,0.27982771396636963,0.07081753015518188,3818.94,0.5102,4110.0,0.00024330900243307862,4109.0
syn1,0.8,pagerank,100.0,1.0,0.5719090909090909,0.4216666666666667,0.9395,0.7108028306490973,0.53,0.05,0.4879054129123688,0.013378889299929142,0.998647153377533,5.56,0.0227,4110.0,0.00048661800486615725,4108.0
syn1,0.8,pgmexplainer,100.0,1.0,0.5228650186193753,0.53,0.631063349909577,0.7632015617374328,0.41,0.46,0.362364262342453,0.31193143129348755,0.9942968487739563,23.44,3.9813,4110.0,0.8207007299270075,736.92
syn1,0.8,random,100.0,1.0,0.006058035686376258,0.3766666666666667,0.0030535928127160493,0.5053405116316901,0.21,0.49,0.0935569554567337,0.4075855612754822,0.8002164363861084,821.11,0.0001,4110.0,0.00024330900243307862,4109.0
syn1,0.8,sa_node,100.0,1.0,0.014392718176764867,0.026666666666666665,0.05005365853658536,0.029583943387018044,0.0,0.53,-0.04421404376626015,0.4879054129123688,0.05352798104286194,3890.0,0.0048,4110.0,0.00048661800486615725,4108.0
syn1,0.8,subgraphx,100.0,1.0,0.7889597069597069,0.7866666666666667,0.8084523809523809,0.8931454367984383,0.45,0.18,0.38942062854766846,0.09054972976446152,0.9973283410072327,10.98,0.9468,4110.0,0.9473284671532849,10.98
syn1,0.9,distance,100.0,1.0,0.5635757575757575,0.41333333333333344,0.9395,0.6033028306490972,0.05,0.53,-0.12311556190252304,0.4879054129123688,0.999335765838623,2.73,0.0163,4110.0,0.00917518248175182,4072.29
syn1,0.9,gnnexplainer,100.0,1.0,0.35837013475052265,0.5983333333333334,0.36854585389989686,0.6784274849520092,0.32,0.41,0.1827176809310913,0.2876341938972473,0.9690389037132263,127.25,2.6277,4110.0,0.9376058394160586,256.44
syn1,0.9,ig_node,100.0,1.0,0.15714285714285714,0.09333333333333331,0.52,0.30826500732064416,0.12,0.53,0.03062938153743744,0.30537304282188416,0.5243163108825684,1955.06,0.1487,4110.0,0.05082238442822385,3901.12
syn1,0.9,occlusion,100.0,1.0,0.013982584179477595,0.07833333333333332,0.040206183336178,0.06852183992191313,0.25,0.31,0.20751245319843292,0.33813732862472534,0.10039658844470978,3697.37,0.5205,4110.0,0.00024330900243307862,4109.0
