dataset,seed_train,prec_train,recall_train,acc_train,seed_test,prec_test,recall_test,acc_test
syn1,4.5,0.9723059184433014,0.9703925895351792,0.9787943925233645,4.5,0.9639279513888889,0.9659635416666665,0.9801428571428572
syn3,4.5,1.0,1.0,1.0,4.5,1.0,1.0,1.0
syn4,4.5,0.9651126338343906,0.9642685851318946,0.9646616541353383,4.5,0.977103727324875,0.9774244833068363,0.9772727272727273
syn5,4.5,0.9040169570937739,0.8761118305794011,0.8919281914893616,4.5,0.9252378236063055,0.8808029003493288,0.9024395161290322
syn6,4.5,0.9868950355360739,0.9862704918032786,0.9874766355140188,4.5,1.0,1.0,1.0
